name,housed,black,low_income,transfers
Scammon Elem School,799,13,775,1
Skinner Elem School,1057,359,269,1
Spry Elem Community School,587,2,581,1
Sumner Elem Math & Sci Comm Acad,263,259,247,1
Taylor Elem School,487,46,477,1
Volta Elem School,911,28,849,1
Wadsworth Elem School,564,551,542,1
Westcott Elem School,422,412,414,1
Woodson South Elem School,339,326,332,1
Foster Park Elem School,369,353,344,1
Hughes L Elem School,464,446,456,1
Robinson Elem School,128,127,124,1
Hanson Park Elem School,1510,20,1452,1
McDowell Elem School,170,164,162,1
Till Elem Math & Science Academy,352,346,348,1
Hirsch Metropolitan High School,145,141,145,1
Albany Park Multicultural Elem,277,12,265,1
Bogan High School,774,381,727,1
Ruiz Elem School,768,8,723,1
Beacon Therapeutic-Main,56,47,52,1
Douglass Academy High School,167,160,164,1
Chavez Elem Multicultural Acad Ct,965,29,957,1
Farragut Career Academy HS,830,97,820,1
Curie Metropolitan High School,2937,367,2737,1
Marine Leadership Academy - Ames,839,58,811,1
Amundsen High School,1166,145,1005,1
Back of The Yards IB HS,1043,34,1007,1
Gage Park High School,306,122,298,1
Cooper Elem Dual Language Academy,493,9,476,1
Kelvyn Park High School,514,36,498,1
New Field Elem School,671,191,600,1
Durkin Park Elem School,704,86,611,1
Lake View High School,1299,138,1063,1
North River Elem School,322,5,290,1
Roosevelt High School,1185,174,1145,1
Senn High School,1411,371,1166,1
Davis M Magnet Elem School,261,243,255,1
Skinner North Elem Sch,488,62,61,1
Camras Elem School,964,15,875,1
West Ridge Elem School,795,47,714,1
Shields Middle School,650,10,634,1
Young Womens Leadership Chartr HS,249,231,231,1
Rudolph Elem Learning Center,91,37,81,1
Northside Learning Center,226,63,198,1
Stock Early Childhood Center,233,3,53,1
Overton Elem School,423,391,373,1
Richards Career Academy HS,250,107,228,1
Corliss High School,368,365,356,1
Young Magnet High School,2111,483,912,1
Bontemps Elem School,311,310,310,1
Goodlow Elem Magnet School,373,356,354,1
Lafayette Elem School,460,157,436,1
Lawrence Elem School,382,374,375,1
Marshall Metropolitan High School,359,351,357,1
Near North Elementary School,86,58,84,1
Collins Academy High School,289,287,288,1
Williams Medical Prep High Sch,234,229,224,1
Sexton Elem School,352,347,292,1
Songhai Elem Learning Institute,309,296,276,1
Jackson M Elem School,311,305,301,1
Barry Elem School,722,10,688,1
Chicago Excel Academy HS,246,236,239,1
Bateman Elem School,1054,31,916,1
Belding Elem School,558,32,383,1
Bell Elem School,958,24,140,1
Boone Elem School,824,66,761,1
Bridge Elem School,1099,18,777,1
Brown  W Elem School,284,259,280,1
Carnegie Elem School,652,638,534,1
Hope Inst Learning Acad Elem School,360,332,327,1
Chalmers Elem Specialty School,367,349,358,1
Chase Elem School,449,11,426,1
Clay Elem School,608,80,564,1
Coles Elem Language Academy,469,457,454,1
Solorio Academy High School,1139,59,1079,1
Cook Elem School,364,356,360,1
Coonley Elem School,948,17,197,1
Rachels Learn Cntr N Lawndale,6,5,2,1
Dett Elem School,302,293,298,1
Dever Elem School,788,13,518,1
Dewey Elem Academy of Fine Arts,412,382,407,1
Dixon Elem School,578,572,487,1
Dore Elem School,733,22,422,1
Drake Elem School,414,402,398,1
Kenyattas Day Care Center,17,14,13,1
Fiske Elem School,461,458,451,1
Fort Dearborn Elem School,398,388,390,1
Funston Elem School,442,36,434,1
Garvy  J Elem School,791,6,348,1
Goethe Elem School,782,35,581,1
Owens Community Academy ES,427,418,414,1
Bronzeville Scholastic HS,372,363,352,1
Gillespie Elem School,503,493,479,1
Hamilton Elem School,474,34,97,1
Haugan Elem School,954,36,931,1
Providence-Englewood Elem Charter,500,480,462,1
Hibbard Elem School,1034,51,980,1
Blaine Elem School,876,40,162,1
Hughes  C Elem School,269,264,266,1
Irving Elem School,473,363,433,1
Kershaw Elem School,274,267,252,1
Kilmer Elem School,792,188,749,1
Metropolitan Family Services - Wellness Center Libby,34,17,21,1
Lincoln Elem School,852,109,144,1
Lovett Elem School,402,333,379,1
Lyon Elem School,1498,35,1411,1
Manierre Elem School,347,334,346,1
Mann Elem School,387,376,373,1
Marsh Elem School,787,64,729,1
Mayer Elem School,719,65,121,1
Montessori of Englewood Chtr ES,290,281,285,1
