name,housed,black,low_income,transfers
Foster Park Elem School,369,353,344,1
Hay Elem Community Academy,420,355,407,1
Langford A Elem School,310,298,305,1
Allendale Residential School Prog,21,8,9,1
Smith  W Elem School,357,355,350,1
Powell Elem Paideia Comm Academy,563,549,540,1
Curtis Elem School,558,530,552,1
Mays Elem Academy,409,404,397,1
South Loop Elem School,772,327,218,1
Jordan Elem Community School,504,159,497,1
Ariel Elem Community Academy,504,491,418,1
Christopher Elem School,391,64,360,1
Hampton Elem Fine & Perf Arts Sch,557,250,509,1
Kennedy High School,1649,60,1203,1
Doolittle Elem School,283,280,282,1
Frazier Perspectives Magnet ES,249,241,217,1
Von Steuben Metro Science HS,1734,179,1308,1
Disney II Magnet HS,730,144,446,1
Urban Prep Chtr Acad West Campus HS,273,270,238,1
Prologue - Johnston Fine Arts HS,61,61,60,1
Southside Occupational Acad HS,265,183,245,1
Camelot Safe Academy School,22,17,22,1
Prosser Career Academy HS,1376,258,1281,1
Richards Career Academy HS,250,107,228,1
Curie Metropolitan High School,2937,367,2737,1
Young Magnet High School,2111,483,912,1
Bontemps Elem School,311,310,310,1
Canter Middle School,227,209,193,1
Songhai Elem Learning Institute,309,296,276,1
Raby High School,415,386,411,1
Clark Acad Prep Magnet High Schl,540,526,491,1
Douglass Academy High School,167,160,164,1
Morgan Elem School,231,225,205,1
Overton Elem School,423,391,373,1
Chicago HS for the Arts,601,269,332,1
Williams Medical Prep High Sch,234,229,224,1
Sexton Elem School,352,347,292,1
Williams Middle Prep Academy,124,123,121,1
Green  W Elem School,372,365,340,1
Roosevelt High School,1185,174,1145,1
Armstrong G Elem IntL Studies,1425,380,1303,1
Chicago Discovery Academy HS     ,345,225,305,1
Avalon Park Elem School,296,291,288,1
Crane Technical Prep High School ,471,457,393,1
Black Magnet Elem School,439,435,369,1
Davis M Magnet Elem School,261,243,255,1
Excel Academy - Southwest HS,176,156,173,1
Brunson Math & Sci Specialty Elem,538,490,528,1
Carter Elem School,402,394,398,1
Guggenheim Elem School           ,291,282,288,1
Dewey Elem Academy of Fine Arts,412,382,407,1
Dubois Elem School,255,244,250,1
Dulles Elem School,623,608,618,1
Dunne Technology Acad Elem Sch,246,241,216,1
Ellington Elem School,618,603,603,1
Evers Elem School,312,307,281,1
Fernwood Elem School,300,298,291,1
Fiske Elem School,461,458,451,1
Faraday Elem School,298,293,296,1
Kelvyn Park High School,514,36,498,1
Greeley Elem School,613,109,524,1
Hamline Elem School,607,53,593,1
Harvard Elem School,425,417,418,1
Providence-Englewood Elem Charter,500,480,462,1
Hayt Elem School,1040,177,922,1
Henderson Elem School,259,225,252,1
Hendricks Elem Community Academy,222,202,220,1
Claremont Academy Elem School,429,359,424,1
Holden Elem School,494,37,451,1
Jackson A Elem Language Acad,561,175,238,1
Jensen Elem Scholastic Academy,436,414,429,1
Kellogg Elem School,250,206,113,1
Kershaw Elem School,274,267,252,1
Kipling Elem School,308,304,255,1
Lozano Elem Bilingual & Intl Ctr,232,32,214,1
Kozminski Elem Community Academy,276,268,261,1
School of Leadership High School ,273,269,258,1
Excel Academy - Woodlawn HS,205,197,197,1
Libby Elem School,375,281,364,1
Banner West Academy HS,230,212,228,1
