CountyName,RecType,"Region-2 County-3 District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat
Christian,Non Pub Sch,03011004X,10,0,St Mary School,Cathy Robertson,422 S Washington St,Taylorville,62568 2562,217824-6501,K-6,95,48,13,3
Christian,Non Pub Sch,03011007X,26,0,Visionway Christian School,Mrs. Glenna Tolliver,1124 N Webster St,Taylorville,62568 1276,217824-6722,P-8,95,48,13,3
Effingham,Non Pub Sch,03025002X,6,0,Altamont Lutheran Interparish,Mrs. Robinette Flach,7 S Edwards St,Altamont,62411 1203,618483-6296,K-8,107,54,15,3
Effingham,Non Pub Sch,03025003X,10,0,Sacred Heart School,Mrs. Vicki Wenthe,407 S Henrietta St,Effingham,62401 1984,217342-4060,P-8,107,54,15,3
Effingham,Non Pub Sch,03025004Y,10,0,St Anthony High School,Mr. Greg Fearday,304 E Roadway Ave,Effingham,62401 3208,217342-6969,9-12,107,54,15,3
Effingham,Non Pub Sch,03025007X,10,0,St Anthony Grade School,Matt Sturgeon,405 N 2nd St,Effingham,62401 3351,217347-7129,P-8,107,54,15,3
Fayette,Non Pub Sch,03026003X,6,0,St Peter Lutheran,Mr. Dan Yagow,701 E 3rd St,Saint Peter,62880 1220,618349-8888,P-8,107,54,15,3
Fayette,Non Pub Sch,03026007X,2,0,Vandalia Christian Academy,Matthew R Philbrick,PO Box 395,Vandalia,62471 0395,618283-9901,K-8,107,54,15,3
Montgomery,Non Pub Sch,03068002X,10,0,St Louis Catholic School,Mrs. Elaine Wagner,509 E Union St,Nokomis,62075 1418,217563-7445,P-8,95,48,13,3
Montgomery,Non Pub Sch,03068005X,6,0,Zion Lutheran School,Mr. John Schaff,1301 N State St,Litchfield,62056 1105,217324-3166,P-8,95,48,13,3
Boone,Non Pub Sch,04004001X,6,0,Immanuel Lutheran School,Judy Schaefer,1225 E 2nd St,Belvidere,61008 4523,815547-5346,P-8,70,35,16,3
Boone,Non Pub Sch,04004002X,10,0,St James School,Dr. Kathleen E Miller,320 Logan Ave,Belvidere,61008 3727,815547-7633,P-8,69,35,16,3
Winnebago,Non Pub Sch,04101001Z,2,0,Berean Baptist Christian School,Douglas E Swanson,5626 Safford Rd,Rockford,61101 2259,815962-4841,P-12,68,34,17,3
Winnebago,Non Pub Sch,04101002Y,10,0,Boylan Central Catholic High Sch,Mr. Chris Rozanski,4000 Saint Francis Dr,Rockford,61103 1661,815877-0531,9-12,67,34,17,3
Winnebago,Non Pub Sch,04101003X,10,0,Holy Family School,Ms. Corine A Gendron,4407 Highcrest Rd,Rockford,61107 1401,815398-5331,P-8,68,34,16,3
Winnebago,Non Pub Sch,04101004X,6,0,Concordia Lutheran School,Mr. Joel Koehler,7424 N 2nd St,Machesney Park,61115 2814,815633-6450,P-5,68,34,16,3
Winnebago,Non Pub Sch,04101005Z,1,0,Keith Country Day School,Dr. James Norris,1 Jacoby Pl,Rockford,61107 1817,815399-8850,P-12,68,34,16,3
Winnebago,Non Pub Sch,04101007X,10,0,St Bernadette,Mrs. Renee Payne,2300 Bell Ave,Rockford,61103 3602,815968-2288,P-8,67,34,17,3
Winnebago,Non Pub Sch,04101008X,10,0,St Bridget School,Mrs. Mary C Toldo,604 Clifford Ave,Loves Park,61111 4698,815633-8255,P-8,68,34,16,3
Winnebago,Non Pub Sch,04101009X,10,0,St Edward,Pat Wackenhut,3020 11th St,Rockford,61109 1210,815398-2631,P-8,67,34,17,3
Winnebago,Non Pub Sch,04101010X,10,0,St James School,Renee Payne,409 N 1st St,Rockford,61107 3903,815962-8515,P-8,67,34,17,3
Winnebago,Non Pub Sch,04101013X,6,0,St Paul Lutheran,Tara Jepsen,811 Locust St,Rockford,61101 6618,815965-3335,P-8,67,34,17,3
Winnebago,Non Pub Sch,04101014X,10,0,St Peter Cathedral School,James Burns,1231 N Court St,Rockford,61103 6201,815963-3620,P-8,67,34,17,3
Winnebago,Non Pub Sch,04101016X,1,0,Kindercare Learning Center,Dawn Allen,6473 E Riverside Blvd,Rockford,61114 4421,815636-2200,P-2,68,34,16,3
Winnebago,Non Pub Sch,04101017X,11,0,Alpine Christian School,Ms. Teresa L Smith,325 N Alpine Rd,Rockford,61107 4905,815399-0880,P-8,68,34,16,3
Winnebago,Non Pub Sch,04101019Z,1,0,Sacred Heart Classical Center,Michael Brunner,411 Sunrise Ln,Rockford,61107 4947,815543-1193,6-12,68,34,16,3
Winnebago,Non Pub Sch,04101020X,10,0,St Rita School,Patrick Flanagan,6284 Valley Knoll Dr,Rockford,61109 1825,815398-3466,P-8,68,34,16,3
Winnebago,Non Pub Sch,04101021X,10,0,St Peters School,Ms. Erica Schwartz,320 Elmwood Ave,South Beloit,61080 1929,779475-0560,P-8,69,35,16,3
Winnebago,Non Pub Sch,04101022Z,6,0,Rockford Lutheran School,Donald E Kortze,3411 N Alpine Rd,Rockford,61114 4801,815877-9551,P-12,68,34,16,3
Winnebago,Non Pub Sch,04101023Z,26,0,Rockford Christian Schools,Randy Taylor,1401 N Bell School Rd,Rockford,61107 2872,815399-3465,P-12,69,35,16,3
Winnebago,Non Pub Sch,04101025X,2,0,Cathedral Baptist School,Pastor Thomas Freeman,5622 35th St,Rockford,61109 3908,815874-3883,P-4,67,34,16,3
Winnebago,Non Pub Sch,04101026X,14,0,Kingdom Authority House of Grace Learning Cntr,Shelia Brown,518 N Court St,Rockford,61103 6808,815964-3117,"P,K",67,34,17,3
Winnebago,Non Pub Sch,04101027X,1,0,Spectrum School,Theodora Middleton,2909 N Main St,Rockford,61103 3100,815877-1600,P-8,68,34,16,3
Winnebago,Non Pub Sch,04101030Z,20,0,North Love Christian School,Mr. Tony Cotelleso,5301 E Riverside Blvd,Rockford,61114 7008,815877-6021,P-12,68,34,16,3
Winnebago,Non Pub Sch,04101032Z,14,0,Christian Life Center School,Mr. Mike Hoekstra,5950 Spring Creek Rd,Rockford,61114 6448,815877-5749,P-12,68,34,16,3
Winnebago,Non Pub Sch,04101055S,19,0,Walter Lawson Childrens Home,Mrs. Katie J Johnson,1820 Walter Lawson Dr,Loves Park,61111 2757,815633-6636,K-12,68,34,16,3
Winnebago,Non Pub Sch,04101069X,20,0,Rainbow Academy,Jean Marie McCormack,6413 Forest Hills Rd,Rockford,61114 4759,815877-1489,K-8,68,34,16,3
Winnebago,Non Pub Sch,04101070X,16,0,Montessori Private Academy Inc,Mr. Jeffrey Katz,8101 Sayer Rd,Rockford,61108 4546,815332-8101,P-9,69,35,16,3
Winnebago,Non Pub Sch,04101072X,14,0,Wee Care Day Care,Patricia Baker,623 E Jefferson St,Rockford,61107 4025,815968-9366,"P,K",67,34,17,3
Winnebago,Non Pub Sch,04101073X,16,0,Montessori Learning Path,Holly Adrowski,200 N 1st St,Rockford,61107 3901,815964-1700,"P,K",67,34,17,3
Winnebago,Non Pub Sch,04101081X,25,0,St Paul C O G I C Academy,Ruthella Pettiway,1001 Bishop Washington Ave,Rockford,61102 3366,815965-4308,P-1,67,34,17,3
Winnebago,Non Pub Sch,04101085X,2,0,Mt Sinai Learning Academy,Sylvia Lumpkins,1901 W State St,Rockford,61102 1956,815964-5852,"P,K",67,34,17,3
Winnebago,Non Pub Sch,04101088X,23,0,Rockford Iqra School,Ms. Donna Dooley,5925 Darlene Dr,Rockford,61109 1858,815397-6899,P-6,68,34,16,3
Winnebago,Non Pub Sch,04101094Z,10,0,Our Lady Sacred Heart Acad,Lou Bageanis,3218 11th St,Rockford,61109 2204,815399-3021,5-12,67,34,17,3
Winnebago,Non Pub Sch,04101095Y,14,0,Lydia Urban Academy-Rockford,Mr. Chad Carty,223 S Winnebago St,Rockford,61102 2259,815966-0039,9-12,67,34,17,3
Winnebago,Non Pub Sch,04101096X,6,0,Alpine Academy,Mr. Robert W McVinnie,5001 Forest View Ave,Rockford,61108 6553,815227-8894,P-6,68,34,16,3
Winnebago,Non Pub Sch,04101097Z,14,0,Crossroads Learning Center,Alice Sorenson,625 Adams St,Rockford,61107 4203,815489-0560,1-10,67,34,17,3
Winnebago,Non Pub Sch,04101099X,1,0,The Ryan Jury Child Dev Learning Cntr,Carol Mittel,122 Williams Park,Rockford,61104 2312,815489-9502,K,67,34,17,3
Winnebago,Non Pub Sch,04101100X,25,0,Abounding Grace Christian Acad,Brenda Burch,518 N Court St,Rockford,61103 6808,815315-3244,K-6,67,34,17,3
Cook,Non Pub Sch,05016001Y,1,0,Beacon Academy,Mr. Jeff Bell,1574 Sherman Avenue,Evanston,60201,224999-1177,9-12,18,9,9,3
Cook,Non Pub Sch,05016005X,16,0,Glencoe Montessori,Carol Lee,556 Vernon Ave,Glencoe,60022 1647,847687-0724,"P,K",18,9,10,3
Cook,Non Pub Sch,05016006S,5,0,Yeshiva High School of Chicago,Gavriel Kark,3050 W Touhy Ave,Chicago,60645 2834,773649-5353,9-12,16,8,9,3
Cook,Non Pub Sch,05016007Z,14,0,Sterling Central - Chicago Campus,Garth Taylor,404 E Devon Ave,Elk Grove Village,60007 4637,847593-4120,3-12,55,28,8,3
Cook,Non Pub Sch,05016008Z,1,0,North Shore Country Day School,Thomas Flemma,310 Green Bay Rd,Winnetka,60093 4009,847446-0674,P-12,18,9,9,3
Cook,Non Pub Sch,05016047X,1,0,Angel Town Private School,Anthony Morelli,1920 E Touhy Ave,Des Plaines,60018 3631,847827-8203,"P,K",55,28,9,3
Cook,Non Pub Sch,05016049Y,14,0,Loyola Academy,Dr. Kathryn Baal,1100 Laramie Ave,Wilmette,60091 1021,847920-2404,9-12,18,9,9,3
Cook,Non Pub Sch,05016059X,16,0,Park View Montessori Inc,George N Petkovich,805 N Burning Bush Ln,Mt Prospect,60056 1913,847296-3044,U,57,29,10,3
Cook,Non Pub Sch,05016069Y,10,0,Notre Dame College Prep,Mr. Daniel Tully,7655 W Dempster St,Niles,60714 2033,847965-2900,9-12,15,8,9,3
Cook,Non Pub Sch,05016071X,16,0,Glenview Montessori School,Mr. Tony Kambich,305 Waukegan Rd,Northfield,60093 2719,847446-7584,"P,K",18,9,9,3
Cook,Non Pub Sch,05016076Y,10,0,Regina Dominican High School,Meg Bigane,701 Locust Rd,Wilmette,60091 2217,847256-7660,9-12,17,9,9,3
Cook,Non Pub Sch,05016078X,5,0,Cheder Lubavitch,Rabbi Ilan Heifetz,5201 Howard St,Skokie,60077 2808,847675-6777,P-8,16,8,9,3
Cook,Non Pub Sch,05016091Z,20,0,Brentwood Baptist Christian Acad,James R Hines,588 Dara James Rd,Des Plaines,60016 2711,847298-3399,P-12,55,28,9,3
Cook,Non Pub Sch,05016100X,16,0,Chiaravalle Montessori School,Robyn McCloud-Springer,425 Dempster St,Evanston,60201 4706,847864-2190,P-8,18,9,9,3
Cook,Non Pub Sch,05016102X,6,0,St Peter Lutheran School,Bruce Rudi,111 W Olive St,Arlington Heights,60004 4766,847253-6638,P-8,53,27,9,3
Cook,Non Pub Sch,05016106Z,20,0,Logos Christian Academy,Larry Murg,7280 N Caldwell Ave,Niles,60714 4502,847647-9456,P-12,15,8,9,3
Cook,Non Pub Sch,05016113Y,10,0,St Viator High School,Karen Love,1213 E Oakton St,Arlington Heights,60004 5041,847392-4050,9-12,53,27,9,3
Cook,Non Pub Sch,05016115X,16,0,Skokie Montessori School,Joji A Escanilla,8401 Karlov Ave,Skokie,60076 2102,847679-4614,P-6,17,9,9,3
Cook,Non Pub Sch,05016122X,16,0,Kripa Montessori Sch H E,T R Raveendran,1015 W Golf Rd,Hoffman Estates,60169 1339,847882-7727,"P,K",44,22,8,3
Cook,Non Pub Sch,05016123Y,5,0,Fasman Yeshiva High School,Rabbi Moshe Wender,7135 Carpenter Rd,Skokie,60077 3248,847982-2500,9-12,16,8,9,3
Cook,Non Pub Sch,05016124X,1,0,A Mothers Touch Learning Academy,Laurie Gashkoff,1666 Rand Rd,Des Plaines,60016 3552,847823-1020,"P,K",55,28,10,3
Cook,Non Pub Sch,05016125X,1,0,A Mothers Touch Creative Learning Center,Laurie Gashkoff,125 N Dryden Ave,Arlington Heights,60004 5703,847577-7600,"P,K",53,27,9,3
Cook,Non Pub Sch,05016128X,6,0,Immanuel Lutheran,Mrs. Gail Spero,832 Lee St,Des Plaines,60016 6408,847390-0990,P-2,55,28,9,3
Cook,Non Pub Sch,05016130X,1,0,Barbereux School,Ms. Cathy Kurtz,3333 Culver St,Evanston,60201 1113,847864-3215,"P,K",17,9,9,3
Cook,Non Pub Sch,05016131S,5,0,ATT-P Tach Special Education  Prog,Rabbi Avrohom S Moller,3531 Madison St,Skokie,60076,773973-2828,1-8,16,8,9,3
Cook,Non Pub Sch,05016133X,25,0,Kingsway Preparatory School,Ms. Tamara Stewart Hadaway,2010 Dewey Ave,Evanston,60201 3021,224208-8282,P-5,18,9,9,3
Cook,Non Pub Sch,05016134Y,5,0,Ida Crown Jewish Academy,Rabbi Leonard Matanky,8233 Central Park Ave,Skokie,60076 2908,773973-1450,9-12,16,8,9,3
Cook,Non Pub Sch,05016143Y,10,0,J Slowacki School,Renata Rudnicki,181 W Dundee Rd,Wheeling,60090 4861,847912-4193,P-10,59,30,10,3
Cook,Non Pub Sch,05016146X,6,0,St Paul Lutheran School,Jennifer Heinze,18 S School St,Mt Prospect,60056 3304,847255-6733,P-8,53,27,9,3
Cook,Non Pub Sch,05016148X,16,0,Buffalo Grove Montessori,Deborah Laporte,950 Ellen Dr,Buffalo Grove,60089 3707,847541-8111,"P,K",57,29,8,3
Cook,Non Pub Sch,05016154X,6,0,Immanuel Lutheran School,Mrs. Delaine Schiestel,200 N Plum Grove Rd,Palatine,60067 5233,847359-1936,P-8,54,27,6,3
Cook,Non Pub Sch,05016156X,6,0,St Andrews Lutheran School,Laura Boggs,260 N Northwest Hwy,Park Ridge,60068 3376,847823-9308,P-8,20,10,9,3
Cook,Non Pub Sch,05016160X,6,0,St Peter Lutheran School,Steve Zielke,208 E Schaumburg Rd,Schaumburg,60194 3517,847885-7636,P-8,56,28,8,3
Cook,Non Pub Sch,05016161X,6,0,St Paul Lutheran Academy,Dale W Luksha,5201 Galitz St,Skokie,60077 2737,847673-5030,P-8,16,8,9,3
Cook,Non Pub Sch,05016170X,23,0,Hadi School of Excellence,Ms. Azra Naqvi,375 S Roselle Rd,Schaumburg,60193 5544,630605-3587,P-6,56,28,8,3
Cook,Non Pub Sch,05016171Z,14,0,Christian Liberty Academy,Dr. Philip Bennett,502 W Euclid Ave,Arlington Heights,60004 5402,847259-4444,K-12,53,27,9,3
Cook,Non Pub Sch,05016188X,1,0,Mosaic Early Childhood Ctr Inc,Noorjahan Bhojani,4023 Dempster St,Skokie,60076 2127,847675-7030,"P,K",17,9,9,3
Cook,Non Pub Sch,05016212X,5,0,Arie Crown Hebrew Day School,Rabbi Eli Samber,4600 Main St,Skokie,60076 2034,847982-9191,P-8,17,9,9,3
Cook,Non Pub Sch,05016213X,16,0,Childrens Lrning Path Montessori,Kanchan Rai,1133 Pfingsten Rd,Northbrook,60062 4449,847498-1533,"P,K",57,29,10,3
Cook,Non Pub Sch,05016218X,5,0,Hillel Torah North Suburban Day Sch,Rabbi Menachem Linzer,7120 Laramie Ave,Skokie,60077 3445,847674-6533,P-8,16,8,9,3
Cook,Non Pub Sch,05016219X,16,0,Northwest Suburban Montessori Sch,Jan Howland,800 N Fernandez Ave,Arlington Hts,60004 5336,847259-6044,"P,K",54,27,9,3
Cook,Non Pub Sch,05016222X,17,0,Plato Academy,Dr. Marian Koritsaris,733 Lee St # 110,Des Plaines,60016 6580,847768-7188,P-8,55,28,9,3
Cook,Non Pub Sch,05016230X,5,0,Sager Solomon Schechter Day Sch,Dr. Lena Kushnir,3210 Dundee Rd,Northbrook,60062 2341,847412-5600,K-8,58,29,10,3
Cook,Non Pub Sch,05016233X,14,0,Childrens Land,Oxana Anisimov,1814 Waukegan Rd,Glenview,60025 2112,847998-9358,"P,K",18,9,9,3
Cook,Non Pub Sch,05016244X,16,0,Childrens Learning World,Rosemary A Fish,8101 W Golf Rd,Niles,60714 1110,847470-0370,U,15,8,10,3
Cook,Non Pub Sch,05016246X,25,0,Faith Christian Academy,Mrs. Tamara Stewart-Hadaway,1932 Dewey Ave,Evanston,60201 3408,847328-3808,"P,K",18,9,9,3
Cook,Non Pub Sch,05016255X,16,0,Montessori Learning Center Inc,Rochelle Gutstadt,1819 N Yale Ave,Arlington Heights,60004 3656,847394-1315,"P,K",54,27,9,3
Cook,Non Pub Sch,05016275X,1,0,Science Academy of Chicago,Brianna Bartucci,501 Midway Dr,Mount Prospect,60056 7000,847258-5254,P-8,55,28,8,3
Cook,Non Pub Sch,05016276X,10,0,St Faith Hope & Charity,Kathleen Carden,180 Ridge Ave,Winnetka,60093 3839,847446-0031,P-8,18,9,9,3
Cook,Non Pub Sch,05016277X,10,0,St Joseph,Mr. Laszlo Katona,1740 Lake Ave,Wilmette,60091 1574,847256-7870,P-8,17,9,9,3
Cook,Non Pub Sch,05016278X,10,0,St Francis Xavier,Ms. Colleen Barrett,808 Linden Ave,Wilmette,60091 2711,847256-0644,P-8,18,9,9,3
Cook,Non Pub Sch,05016287X,1,0,Baker Demonstration School,Mr. Dan Schwartz,201 Sheridan Rd,Wilmette,60091 3452,847425-5869,P-8,18,9,9,3
Cook,Non Pub Sch,05016298X,10,0,St Joan of Arc School-Skokie,Craig R Scanlon,9245 Lawndale Ave,Evanston,60203 1508,847679-0660,P-8,17,9,9,3
Cook,Non Pub Sch,05016303X,10,0,St Colette School,Valerie Zemko,3900 Pheasant Dr,Rolling Meadows,60008 2637,847392-4098,P-8,54,27,8,3
Cook,Non Pub Sch,05016309X,10,0,St Alphonsus Liguori,Ms. Linda Chorazy,411 N Wheeling Rd,Prospect Heights,60070 1322,847255-5538,P-8,53,27,9,3
Cook,Non Pub Sch,05016311X,10,0,St Paul of the Cross School,Nell Fisher Agnew,140 S Northwest Hwy,Park Ridge,60068 4253,847825-6366,P-8,55,28,9,3
Cook,Non Pub Sch,05016312X,10,0,Mary Seat of Wisdom,Julie Due,1352 S Cumberland Ave,Park Ridge,60068 5240,847825-2500,P-8,55,28,9,3
Cook,Non Pub Sch,05016320Y,5,0,Rochelle Zell Jewish High School,Bruce Scher,1095 Lake Cook Rd,Deerfield,60015 5221,847470-6700,P-12,58,29,10,3
Cook,Non Pub Sch,05016322X,23,0,Al Huda Academy,Mrs. Samia A Mufti,435 Springsouth Rd,Schaumburg,60193 3547,630270-3130,P-6,56,28,8,3
Cook,Non Pub Sch,05016380X,17,0,Hellenic American Academy,Mrs. Mary Giannetos,1085 Lake Cook Rd,Deerfield,60015 5221,847317-1063,P-8,58,29,10,3
Cook,Non Pub Sch,05016387X,2,0,Childrens Christian Learning Ctr,Sarah Plotena,1900 Nerge Rd,Elk Grove Village,60007 2907,847352-1968,"P,K",56,28,8,3
Cook,Non Pub Sch,05016414X,17,0,Guardian Angel Orthodox Day Sch,Irene Robaidek,2350 E Dempster St,Des Plaines,60016 4839,847827-5519,P-4,20,10,10,3
Cook,Non Pub Sch,05016419X,10,0,St Theresa School,Ms. Mary J Keenley,445 N Benton St,Palatine,60067 3501,847359-1820,P-8,54,27,6,3
Cook,Non Pub Sch,05016420X,10,0,St Thomas of Villanova,Mary Brinkman,1141 E Anderson Dr,Palatine,60074 4146,847358-2110,P-8,54,27,8,3
Cook,Non Pub Sch,05016469X,10,0,St Norbert School,Geralyn Lawler,1817 Walters Ave,Northbrook,60062 4534,847272-0051,P-8,18,9,9,3
Cook,Non Pub Sch,05016479Z,20,0,Schaumburg Christian School,Jim Toth,200 N Roselle Rd,Schaumburg,60194 3523,847885-3230,P-12,56,28,8,3
Cook,Non Pub Sch,05016494X,10,0,Holy Family Catholic Academy,Mrs. Kate OBrien,2515 Palatine Rd,Inverness,60067 4567,847907-3419,P-4,54,27,6,3
Cook,Non Pub Sch,05016503X,10,0,St Emily School,Mary Hemmelman,1400 E Central Rd,Mt Prospect,60056 2650,847296-3490,P-8,57,29,10,3
Cook,Non Pub Sch,05016504X,10,0,St Raymond School,Ms. Mary Eileen Ward,300 S Elmhurst Ave,Mt Prospect,60056 3129,847253-8555,P-8,53,27,9,3
Cook,Non Pub Sch,05016508X,10,0,St John Brebeuf School,Elise Matson,8301 N Harlem Ave,Niles,60714 2616,847966-3266,P-8,15,8,9,3
Cook,Non Pub Sch,05016512X,10,0,St Catherine Laboure,Jodi Reuter,3425 Thornwood Ave,Glenview,60026 1555,847724-2240,P-8,17,9,10,3
Cook,Non Pub Sch,05016523X,10,0,St Hubert School,Ms. Kelly Bourrell,255 Flagstaff Ln,Hoffman Estates,60169 3252,847885-7702,P-8,56,28,8,3
Cook,Non Pub Sch,05016526X,10,0,Sacred Heart School,Ms. Kristen Fink,1095 Gage St,Winnetka,60093 1704,847446-0005,P-8,18,9,9,3
Cook,Non Pub Sch,05016553X,10,0,Queen of the Rosary School,Kathleen McGinn,690 W Elk Grove Blvd,Elk Grove Village,60007 4262,847437-3322,P-8,55,28,8,3
Cook,Non Pub Sch,05016556X,10,0,St Athanasius School,Carol McClay,2510 Ashland Ave,Evanston,60201 2319,847864-2650,K-8,18,9,9,3
Cook,Non Pub Sch,05016558X,10,0,Pope John XXIII School,Mrs. Gail Hulse,1120 Washington St,Evanston,60202 1620,847475-5678,P-8,18,9,9,3
Cook,Non Pub Sch,05016574X,16,0,Three Oaks Montessori School,Mrs. Elizabeth C Marton,12 S Linden Ave,Palatine,60074 6341,847358-2345,"P,K",54,27,6,3
Cook,Non Pub Sch,05016594X,1,0,Creative Childrens Academy,Dr. Khalek Kirkland,500 N Benton St,Palatine,60067 3564,847202-8035,P-8,54,27,6,3
Cook,Non Pub Sch,05016611S,19,0,NewHope Academy,Ms. Brandy M Larrance,3250 N Arlington Heights Rd Ste 200,Arlington Heights,60004,847588-0463,6-12,15,8,9,3
Cook,Non Pub Sch,05016621S,19,0,Centerview Therapeutic,Dr. Bonita Simon,3444 Dundee Rd,Northbrook,60062 2201,847559-0110,1-12,58,29,10,3
Cook,Non Pub Sch,05016658X,10,0,St Zachary School,Caroline Forestor,567 W Algonquin Rd,Des Plaines,60016 5702,847437-4022,P-8,55,28,8,3
Cook,Non Pub Sch,05016661S,19,0,Metropolitan Preparatory Schools,Kathryn Dunlap,2525 E Oakton St # STED47,Arlington Heights,60005 4881,847956-7912,K-12,55,28,8,3
Cook,Non Pub Sch,05016666X,10,0,St James School,Judith M Pappas,821 N Arlington Heights Rd,Arlington Heights,60004 5665,224345-7145,P-8,53,27,9,3
Cook,Non Pub Sch,05016667X,10,0,Our Lady of the Wayside,David Wood,432 S Mitchell Ave,Arlington Heights,60005 1810,847255-0050,P-8,53,27,9,3
Cook,Non Pub Sch,05016670S,19,0,Arlyn Day School,Judith F Goldstein,3013 Illinois Rd,Wilmette,60091 1118,847256-7117,5-12,17,9,9,3
Cook,Non Pub Sch,05016671S,10,0,St Bernadettes Sch for Spec Educ,Diane Gorman,7429 N Milwaukee Ave,Niles,60714 3707,847647-0235,"P,1-3,10",15,8,9,3
Cook,Non Pub Sch,05016674X,16,0,Ronald Knox Montessori School,Blythe Silva,2031 Elmwood Ave,Wilmette,60091 1431,847256-2922,"P,K",17,9,9,3
Cook,Non Pub Sch,05016675X,26,0,Christian Heritage Academy,Dr. David L Roth,315 Waukegan Rd,Northfield,60093 2719,847446-5252,P-12,18,9,9,3
Cook,Non Pub Sch,05016679Z,27,0,Glenview New Church School,Mr. Philip J Parker,74 Park Dr,Glenview,60025 2721,847724-0057,"P-6,8-10",17,9,9,3
Cook,Non Pub Sch,05016681X,16,0,Midwest Montessori School,Linda Bechtle,926 Noyes St,Evanston,60201 2706,847328-6630,"P,K",18,9,9,3
Cook,Non Pub Sch,05016688X,16,0,Pk Ridge Intl Mont,Charlene Alderete,418 W Touhy Ave,Park Ridge,60068 4207,847298-7740,K-6,20,10,9,3
Cook,Non Pub Sch,05016708Z,14,0,Valeo Academy,Mrs. Grace Dickow,2500 Beverly Rd,Hoffman Estates,60192 3302,847645-9300,K-12,52,26,8,3
Cook,Non Pub Sch,05016734X,5,0,Gesher Hatorah,Shana Schuman,5130 Touhy Ave,Skokie,60077 3474,847674-6740,1-7,15,8,9,3
Cook,Non Pub Sch,05016742X,6,0,Jerusalem Evangelical Lutheran,Michael Naumann,6218 Capulina Ave,Morton Grove,60053 2809,847965-4750,P-8,15,8,9,3
