CountyName,RecType,"Region-2 County-3 District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat
Cook,School,50160063,0,284,Cove School - Intensive,Dr. Sally Sover,350 Lee Rd,Northbrook,60062 1521,847562-2100,,58,29,10,D
Cook,Dist,50160087,0,0,Safe Haven School,Holly Schaefer,1834 Torrey Pkwy,Libertyville,60048 1034,847347-5535,,18,9,9,C
Cook,School,50160087,0,262,Safe Haven School,Holly Schaefer,937 Happ Rd,Northfield,60093 1006,847509-5885,,18,9,9,D
Cook,School,50160087,0,303,Safe Haven School Lake Bluff,Holly E Schaefer,906 Muir Ave,Lake Bluff,60044 1587,847604-3903,,58,29,10,D
Cook,School,50160087,0,375,Safe Haven Sch L. B. Ext,Holly Schaefer,906 Muir Ave,Lake Bluff,60044,847604-3903,,,,,D
Cook,Dist,50160115,0,0,Jeanine Schultz School,Michael Biskupski,2101 Oakton St,Park Ridge,60068 1819,847696-3315,,20,10,9,C
Cook,School,50160115,0,264,Jeanine Schultz Memorial School,Michael Biskupski,2101 Oakton St,Park Ridge,60068 1819,847696-3315,,20,10,9,D
Cook,Dist,50160128,0,0,Learning House,Mark C Fisher,5110 Capitol Dr,Wheeling,60090 7900,847459-8330,,57,29,10,C
Cook,School,50160128,0,99,Learning House,Sandra Schwartz,5110 Capitol Dr,Wheeling,60090 7900,847459-8330,,57,29,10,D
Cook,School,50160128,0,268,Learning House - Intensive,Sandra Schwartz,5110 Capitol Dr,Wheeling,60090 7900,847459-8330,,57,29,10,D
Cook,Dist,50160135,0,0,Little City Foundation,Shawn Jeffers,1760 W Algonquin Rd,Palatine,60067 4791,847358-5510,,54,27,6,C
Cook,School,50160135,0,428,ChildBridge Center for Education,Karoline Dean,1760 W Algonquin Rd,Palatine,60067 4791,847221-7752,,54,27,6,D
Cook,School,50160135,0,565,ChildBridge Center for Ed-Int,Karoline Dean,1760 W Algonquin Rd,Palatine,60067 4791,847221-7752,,54,27,6,D
Cook,Dist,50160146,0,0,Maryville Academy,Ann Craig,1150 N River Rd,Des Plaines,60016 1214,847294-1894,,57,29,10,C
Cook,School,50160146,0,222,Maryville Jen Unit C,Ann Craig,1150 N River Rd,Des Plaines,60016 1214,847390-3020,,57,29,10,D
Cook,School,50160146,0,223,Maryville Jen Unit C - Invest,Ann Craig,1150 N River Rd,Des Plaines,60016 1214,847390-3020,,57,29,10,D
Cook,School,50160146,0,507,Maryville Eisenberg-Casa Salama,Evelyn Smith,951 W Bartlett Rd,Bartlett,60103 4479,847294-1726,,,,,D
Cook,School,50160146,0,512,Maryville Eisenberg- Casa Imani,Evelyn Smith,951 W Bartlett Rd,Bartlett,60103 4479,847294-1726,,,,,D
Cook,School,50160146,0,537,Maryville Jen Unit B,Ann Craig,1150 N River Rd,Des Plaines,60016 1214,847390-3020,,57,29,10,D
Cook,School,50160146,0,539,Maryville Jen Unit B - Invest,Ann Craig,1150 N River Rd,Des Plaines,60016 1214,847390-3020,,57,29,10,D
Cook,Dist,50160150,0,0,The Institute for Person Centered Enrichment,Patricia Scherer,1941 Rohlwing Rd,Rolling Meadows,60008 1338,847509-8260,,58,29,10,C
Cook,Dist,50160153,0,0,Family Guidance Centers Inc,Kathryn Dunlap,2525 E Oakton St D45,Arlington Heights,60005 4881,847956-7912,,55,28,8,C
Cook,School,50160153,0,90,Metropolitan Prep High School,Kathryn Dunlap,2525 E Oakton St Ste D47,Arlington Heights,60005 4808,847956-7912,,55,28,8,D
Cook,School,50160153,0,91,Metropolitan Prep Grade School,Kathryn Dunlap,2525 E Oakton St,Arlington Heights,60005 4881,847956-7912,,55,28,8,D
Cook,School,50160153,0,141,Laureate Day School,Kathryn Dunlap,2525 E Oakton St Ste C3,Arlington Heights,60005 4805,847803-1550,,55,28,8,D
Cook,School,50160153,0,323,Laureate Day School Ext,Kathryn Dunlap,2525 E Oakton St Ste C3,Arlington Heights,60005 4805,847803-1550,,55,28,8,D
Cook,School,50160153,0,324,Metropolitan Prep Grade Sch- Ext,Kathryn Dunlap,2525 E Oakton St,Arlington Heights,60005 4881,847956-7912,,55,28,8,D
Cook,School,50160153,0,325,Metropolitan Prep HS-Ext,Kathryn Dunlap,2525 E Oakton St Ste D47,Arlington Heights,60005 4808,847956-7912,,55,28,8,D
Cook,Dist,50160197,0,0,South Campus,Tom Dempsey,909 E Wilmette Rd,Palatine,60074 6496,847359-8300,,54,27,8,C
Cook,School,50160197,0,87,South Campus,Tom Dempsey,909 E Wilmette Rd,Palatine,60074 6496,847359-8300,,54,27,8,D
Cook,School,50160197,0,153,South Campus-Extended Day,Tom Dempsey,909 E Wilmette Rd,Palatine,60074 6496,847359-8300,,54,27,8,D
Cook,Dist,50160200,0,0,Virtual Connections Academy Inc,Tanya Guild,865 E Wilmette Rd,Palatine,60074 6493,847359-8690,,,,,C
Cook,School,50160200,0,344,Virtual Connections Academy,Tanya Guild,865 E Wilmette Rd,Palatine,60074 6493,847359-8690,,,,,D
Cook,Dist,50160255,0,0,NewHope Academy,Brandy M Larrance,3250 N Arlington Hgts Rd,Arlington Heights,60004,847588-0463,,15,8,9,C
Cook,School,50160255,0,50,NewHope Academy,Brandy M Larrance,3250 N Arlington Hgts Rd,Arlington Heights,60004,847588-0463,,15,8,9,D
Cook,Dist,50160258,0,0,Northshore University Health Sys,Mark Neaman,2650 Ridge Ave,Evanston,60201 1718,847570-2010,,18,9,9,C
Cook,School,50160258,0,111,Evanston Day School,Kathleen Hart,3633 W Lake Ave Ste 200,Glenview,60026 5802,847486-8705,,17,9,10,D
Cook,Dist,50160270,0,0,Camelot Education,Todd Bock,7500 Rialto Blvd Ste 260,Austin,78735 8531,512858-9900,,,,,C
Cook,School,50160270,0,49,Camelot Therapeutic-Naperville,Michael Gurley,1220 Bond St,Naperville,60563 2757,630355-0200,,41,21,11,D
Cook,School,50160270,0,57,Camelot Northwest Cntr forAutism,Jennifer Johnson,509 Oak St,DeKalb,60115 3360,815787-4144,,70,35,16,D
Cook,School,50160270,0,107,Camelot Northwest Cntr for Autism,Jennifer Johnson,509 Oak St,DeKalb,60115 3360,815787-4144,,70,35,16,D
Cook,School,50160270,0,131,Camelot Ther-Naperville Int,Michael Gurley,1220 Bond St,Naperville,60563 2757,630355-0200,,41,21,11,D
Cook,School,50160270,0,132,Camelot Therap-Mt. Prospect-Int,Nicole Davenport,580 Slawin Ct,Mt Prospect,60056 2183,224618-8338,,57,29,10,D
Cook,School,50160270,0,167,Camelot Ther-Hoffman Estates,Andrew Derwin,5135 Trillium Blvd,Hoffman Estates,60192 3600,224402-7408,,52,26,8,D
Cook,School,50160270,0,168,Camelot Ther-Hoffman Estates Int,Andrew Derwin,5135 Trillium Blvd,Hoffman Estates,60192 3600,630897-4321,,52,26,8,D
Cook,School,50160270,0,217,Camelot - Kankakee Campus,Nicole Davenport,650 N Convent St,Bourbonnais,60914 1332,815602-8200,,79,40,2,D
Cook,School,50160270,0,218,Camelot - Kankakee Campus Int,Nicole Davenport,650 N Convent St,Bourbonnais,60914 1332,815602-8200,,79,40,2,D
Cook,School,50160270,0,304,Camelot of Belvidere,Heather Nelson,7133 Garden Prairie Rd,Garden Prairie,61038 9774,815597-8760,,,,,D
Cook,School,50160270,0,305,Camelot of Belvidere-Int,Craig Reveter,7133 Garden Prairie Rd,Garden Prairie,61038 9774,815597-8760,,,,,D
Cook,School,50160270,0,336,Camelot of the Quad Cities,Debra Singley,3601 69th Ave,Moline,61265 9798,309517-6330,,71,36,17,D
Cook,School,50160270,0,337,Camelot of the Quad Cities Int,Debra Singley,3601 69th Ave,Moline,61265 9798,309517-6330,,71,36,17,D
Cook,School,50160270,0,351,Camelot Therapeutic-Mt. Prospect,Nicole Davenport,580 Slawin Ct,Mt Prospect,60056 2183,224612-8338,,57,29,10,D
Cook,Dist,50160305,0,0,Joseph Academy,Mike Schack,1101 Gregory St,Des Plaines,60016 1231,847826-0584,,57,29,10,C
Cook,School,50160305,0,106,Joseph Academy - Melrose Park,Mike Schack,1100 N 22nd Ave,Melrose Park,60160 3116,708345-4500,,77,39,4,D
Cook,School,50160305,0,165,Joseph Academy - Des Plaines,Bob Malek,1101 Gregory St,Des Plaines,60016 1231,847803-1930,,57,29,10,D
Cook,School,50160305,0,231,Joseph Academy at Hometown,Laura Capparelli,9003 S Kostner Ave,Hometown,60456 1007,708952-1100,,31,16,3,D
Cook,School,50160305,0,340,Joseph Academy- Melrose Park Int,Mike Schack,1100 N 22nd Ave,Melrose Park,60160 3116,708345-4500,,77,39,4,D
Cook,School,50160305,0,341,Joseph Academy- Des Plaines Int,Michael Schack,1101 Gregory St,Des Plaines,60016 1231,847803-1930,,57,29,10,D
Cook,School,50160305,0,342,Joseph Academy at Hometown Int,Laura Capparelli,90003 S Kostner Ave,Hometown,60456,708952-1100,,31,16,3,D
Cook,Dist,50160308,0,0,Leslie Shankman School Corp,Diana Kon,6245 S Ingleside Ave,Chicago,60637 2621,773420-2900,,26,13,1,C
Cook,School,50160308,0,51,Hyde Park Day School,Jay Allan Smith,6254 S Ellis Ave,Chicago,60637,773420-2550,,26,13,1,D
Cook,School,50160308,0,53,Hyde Park Day School-North,Melanie Hodak,1980 Old Willow Rd,Northfield,60093 2913,847446-7025,,18,9,9,D
Cook,School,50160308,0,60,Sonia Shankman Ortho Day - Int,Michelle Zarrilli,6245 S Ingleside Ave,Chicago,60637 2621,773420-2887,,26,13,1,D
Cook,School,50160308,0,117,Sonia Shankman Orthogenic-Day,Michelle Zarrilli,6245 S Ingleside Ave,Chicago,60637 2621,773420-2887,,26,13,1,D
Cook,School,50160308,0,450,Sonia Shankman Orthogenic,Michelle Zarrilli,6245 S Ingleside Ave,Chicago,60637 2621,773420-2887,,26,13,1,D
Cook,School,50160308,0,482,Sonia Shankman Orthogenic - Int,Michelle Zarrilli,6245 S Ingleside Ave,Chicago,60637 2621,773420-2887,,26,13,1,D
Cook,Dist,50160318,0,0,Orchard Village,Timothy Bobrowski,7679 Marmora Ave,Skokie,60077,847967-1800,,15,8,9,C
Cook,School,50160318,0,179,Orchard Academy,Kenneth S Kozin,7669 Marmora Ave,Skokie,60077 2628,847967-1800,,15,8,9,D
Cook,School,50160318,0,214,Orchard Academy - Intensive,Kenneth S Kozin,7669 Marmora Ave,Skokie,60077 2628,847967-1800,,15,8,9,D
Cook,Dist,50160668,0,0,New Connections Academy Inc,Tanya Guild,865 E Wilmette Rd,Palatine,60074 6493,847359-8690,,54,27,8,C
Cook,School,50160668,0,176,New Connections Academy,Tanya Guild,865 E Wilmette Rd,Palatine,60074 6493,847359-8690,,54,27,8,D
Cook,School,50160668,0,280,New Connections - Ext Day,Tanya Guild,865 E Wilmette Rd,Palatine,60074 6493,847359-8690,,54,27,8,D
Cook,Dist,60160002,0,0,Achievement Centers,Kathryn Fouks,6425 Willow Springs Rd,La Grange Highlands,60525 4468,708579-9040,,31,16,3,C
Cook,School,60160002,0,12,Acacia Academy,Kathryn Fouks,6425 Willow Springs Rd,La Grange Highlands,60525 4468,708579-9040,,31,16,3,D
Cook,School,60160002,0,58,Acacia Academy - Intensive,Kathryn Fouts,6425 Willow Springs Rd,La Grange Highlands,60525 4468,708579-9040,,31,16,3,D
Cook,Dist,60160143,0,0,Britten School,Elaine Moor,10110 Gladstone Str,Westchester,60154,708343-7500,,24,12,4,C
Cook,School,60160143,0,15,Britten School,Elaine Moor,10110 Gladstone St,Westchester,60154 2614,708343-7500,,7,4,7,D
Cook,Dist,60160215,0,0,Streamwood Behavioral Healthcare,Dr. Ronald Weglarz,1400 E Irving Park Rd,Streamwood,60107 3201,630837-9000,,44,22,8,C
Cook,School,60160215,0,277,Innovations Academy,Dr. Joyce Nelson,1360 E Irving Park Rd,Streamwood,60107 3202,630540-3900,,44,22,8,D
Cook,School,60160215,0,297,Innovations Academy - Intensive,Dr. Joyce Nelson,1360 E Irving Park Rd,Streamwood,60107 3202,630540-3900,,44,22,8,D
Cook,School,60160215,0,306,Innovations Acad-HS Voc. ED,Dr. Joyce Nelson,1360 E Irving Park Rd,Streamwood,60107 3202,630540-3900,,44,22,8,D
Cook,School,60160215,0,348,Innovations Acad-HS Voc Ed Int,Dr. Joyce Nelson,1360 E Irving Park Rd,Streamwood,60107 3202,630540-3900,,,,,D
Cook,Dist,60160289,0,0,Helping Hand Center,Mary Beth Hepp,9649 W 55th St,Countryside,60525 3632,708352-3580,,23,12,3,C
Cook,School,60160289,0,333,Helping Hand School,Sally Wilson-Gamble,9649 W 55th St,Countryside,60525 3632,708352-3580,,23,12,3,D
Cook,Dist,60160663,0,0,Riveredge Hospital,Carey E Carlock,8311 Roosevelt Rd,Forest Park,60130 2529,708209-4182,,7,4,7,C
Cook,School,60160663,0,558,Roosevelt Academy,Ben Frank,8311 Roosevelt Rd,Forest Park,60130 2529,708771-7000,,7,4,7,D
Cook,Dist,70160001,0,0,AAA Academy,Mrs. Freda McArthur,13801 Chatham St,Blue Island,60406 3219,708206-0000,,30,15,1,C
Cook,School,70160001,0,120,AAA Academy,Shelton Flowers,13801 Chatham St,Blue Island,60406 3219,708206-0000,,30,15,1,D
Cook,Dist,70160021,0,0,Blue Island Ctz for Pers W/DD,Anthony A DiVittorio,2155 Broadway St,Blue Island,60406 3050,708389-6578,,28,14,1,C
Cook,School,70160021,0,35,Blue Cap School,Jill Pertchi,1962 Broadway St,Blue Island,60406 3002,708389-8137,,28,14,1,D
Cook,Dist,70160050,0,0,Childrens Habilitation Center,Pam Markle,121 W 154th St,Harvey,60426 3552,708596-2220,,30,15,2,C
Cook,School,70160050,0,353,Childrens Habilitation Center,Jane L Lurquin,121 W 154th St,Harvey,60426 3552,708596-2220,,30,15,2,D
Cook,Dist,70160081,0,0,Elim Christian School,Mike Otte,13020 S Central Ave,Palos Heights,60463 2410,708389-0555,,27,14,1,C
Cook,School,70160081,0,108,Elim Christian School-Day,Mike Otte,13020 S Central Ave,Palos Heights,60463 2410,708389-0555,,27,14,1,D
Cook,School,70160081,0,147,Elim Christian School-Intensive,Mike Otte,13020 S Central Ave,Palos Heights,60463 2410,708389-0555,,27,14,1,D
Cook,School,70160081,0,350,Elim Pathways,Mr. Mike Otte,13020 S Central Ave,Palos Heights,60463 2410,708389-0555,,,,,D
Cook,Dist,70160183,0,0,iCan Dream Center,Dr. Evisha Ford,17508 E Carriageway Dr Unit A/D,Hazel Crest,60429 2075,708798-4200,,38,19,2,C
Cook,School,70160183,0,320,iCan Dream Center,Dr. Evisha Ford,17508 E Carriageway Dr Unit A/D,Hazel Crest,60429 2075,708798-4200,,38,19,2,D
Cook,Dist,70160309,0,0,Chicago Autism Academy,Laura A Hartwell,21133 S 80th Ave,Frankfort,60423 9179,815806-2900,,37,19,1,C
Cook,School,70160309,0,121,Chicago Autism Academy,Laura Hartwell,21133 S 80th Ave,Frankfort,60423 9179,815806-2900,,37,19,1,D
Cook,Dist,70160311,0,0,St Coletta of Illinois,Annette Skafgaard,18350 Crossing Dr,Tinley Park,60487 6294,708342-5278,,37,19,1,C
Cook,School,70160311,0,129,Lt Joseph P Kennedy School,Cynthia James,18350 Crossing Dr,Tinley Park,60487 6294,708342-5278,,37,19,1,D
Cook,School,70160311,0,183,Lt Joseph P Kennedy School - Int,Cynthia James,18350 Crossing Dr,Tinley Park,60487 6294,708342-5278,,37,19,1,D
Cook,School,70160311,0,215,Lt Joseph P Kennedy - Special,Cynthia James,18350 Crossing Dr,Tinley Park,60487 6294,708342-5278,,37,19,1,D
Cook,School,70160311,0,266,Lt Joseph P Kennedy Early Child,Cynthia James,18350 Crossing Dr,Tinley Park,60487 6294,708342-5278,,37,19,1,D
Stephenson,Dist,80890163,0,0,Norman C Sleezer Youth Home,Cara Williams,1401 S Sleezer Home Rd,Freeport,61032 2514,815232-8336,,89,45,17,C
Stephenson,School,80890163,0,483,Norman C Sleezer Youth Home,Cara Williams,1401 S Sleezer Home Rd,Freeport,61032 2514,815232-8336,,89,45,17,D
Champaign,Dist,90100030,0,0,Carle Foundation,James Leonard,805 W Park St,Urbana,61801 2522,217383-4800,P-12,103,52,13,C
Champaign,School,90100030,0,180,Carle Auditory Oral School,Danielle M Darcy,805 W Park St,Urbana,61801 2522,217326-2824,,103,52,13,D
Champaign,Dist,90100067,0,0,Cunningham Childrens Home,Marlin Livingston,1301 N Cunningham Ave,Urbana,61802 1830,217367-3728,,103,52,13,C
Champaign,School,90100067,0,6,Cunningham-Circle Academy,Linda K Fox,1204 N Division Ave,Urbana,61801 1870,217367-6923,,103,52,13,D
Champaign,School,90100067,0,86,Gerber School-Cunningham (Day),Jennifer Rohn,1301 N Cunningham Ave,Urbana,61802 1830,217367-4064,,103,52,13,D
Champaign,School,90100067,0,133,Gerber School-Cunningham (Int),Jennifer Rohn,1301 N Cunningham Ave,Urbana,61802 1830,217367-4064,,103,52,13,D
Champaign,School,90100067,0,134,Cunningham-Circle Academy (Int),Linda K Fox,1204 N Division Ave,Urbana,61801 1870,217367-6923,,103,52,13,D
Champaign,School,90100067,0,321,Circle Academy-Vermilion,Linda K Fox,351 N Chicago St,Rossville,60963 1031,217769-0030,,106,53,15,D
Champaign,School,90100067,0,455,Cunningham-Kendall Gill,Jessica Farmer,208 E Washington St,Urbana,61801 4227,217328-2662,,103,52,13,D
Champaign,School,90100067,0,458,Cunningham-Girls,Todd Wagner,1301 N Cunningham Ave,Urbana,61802 1830,217359-0528,,103,52,13,D
Champaign,School,90100067,0,466,Gerber School-Cunningham,Jennifer Rohn,1301 N Cunningham Ave,Urbana,61802 1830,217367-4064,,103,52,13,D
Champaign,School,90100067,0,527,Gerber School-Cunningham (Combo),Jennifer Rohn,1301 N Cunningham Ave,Urbana,61802 1830,217337-4064,,103,52,13,D
Champaign,Dist,90100172,0,0,Universal Health System,Joseph Sheehy,809 W Church St,Champaign,61820 3320,217373-1700,,103,52,13,C
Champaign,School,90100172,0,30,Pavilion Foundation School-Day,Jesse McFarling,810 W Church St,Champaign,61820 3321,217373-1889,,103,52,13,D
Champaign,School,90100172,0,329,Pavilion Foundation Sch - Day Int,Jesse McFarling,801 W Church St,Champaign,61820,217373-1899,,103,52,13,D
Champaign,School,90100172,0,405,Pavilion Foundation School,Ann Robinson,810 W Church St,Champaign,61820 3321,217373-1889,,103,52,13,D
Jefferson,Dist,130410229,0,0,Spero Family Services,John Shadowens,2023 Richview Rd,Mount Vernon,62864 2884,618242-1070,,115,58,12,C
Jefferson,School,130410229,0,536,Spero Academy,Trina Whipple,2023 Richview Rd,Mount Vernon,62864 2884,618242-1070,,115,58,12,D
Jefferson,School,130410229,0,547,Spero Academy Transitional,Kay Zibby,2023 Richview Rd,Mount Vernon,62864 2884,618242-1070,,115,58,12,D
Washington,Dist,130950109,0,0,Hoyleton Youth & Family Services,Christopher L Cox,8 Executive Dr Ste 200,Fairview Heights,62208 1350,618493-7382,,108,54,15,C
Washington,School,130950109,0,467,Hoyleton Youth & Family-Main,Christopher L Cox,325 N Main St,Hoyleton,62803,618493-7382,,108,54,15,D
Washington,School,130950109,0,469,Hoyleton Youth & Family-Skyview,Christopher L Cox,29 E Elm St,Hoyleton,62803,618493-7382,,108,54,15,D
Washington,School,130950109,0,470,Hoyleton Youth & Family-TLC,Christopher L Cox,85 E Elm St,Hoyleton,62803,618493-7382,,108,54,15,D
Washington,School,130950109,0,471,Hoyleton Youth & Family-Koelling,Christopher L Cox,350 N Main St,Hoyleton,62803 2006,618493-7382,,108,54,15,D
Washington,School,130950109,0,472,Hoyleton Youth & Family-Elm,Christopher L Cox,115 E Elm St,Hoyleton,62803,618493-7382,,108,54,15,D
Cook,Dist,150160003,0,0,Ada S McKinley Community Services,George Jones Jr,725 S Wells St Ste 1A,Chicago,60607 4577,312554-0600,,6,3,7,C
Cook,Dist,150160009,0,0,Chicago-Catholic Charities,Deborah L Hays,2060 W Granville Ave,Chicago,60659 3097,773273-4529,,16,8,9,C
Cook,School,150160009,0,359,Misericordia School,Deborah L Hays,2060 W Granville Ave,Chicago,60659 3097,773273-4744,,16,8,9,D
Cook,Dist,150160014,0,0,Associated Talmud Torahs,Rabbi  Ralzman,3531 Madison St,Skokie,60076 2958,773973-2828,,16,8,9,C
Cook,School,150160014,0,5,Keshet Day School,Dr. Melinda Remaly,3210 Dundee Rd,Northbrook,60062 2341,847205-0274,,58,29,10,D
Cook,School,150160014,0,7,Keshet High School,Dr. Melinda Remaly,8233 Central Park Ave,Skokie,60076 2908,773262-1160,,16,8,9,D
Cook,School,150160014,0,109,Keshet Day School-Intensive,Dr. Melinda Remaly,3531 Madison St,Skokie,60076 2958,773973-2828,,58,29,10,D
Cook,School,150160014,0,114,Keshet High School-Intensive,Dr. Melinda Remaly,3531 Madison St,Skokie,60076 2958,773973-2828,,16,8,9,D
Cook,School,150160014,0,338,Keshet Transition Program,Dr. Melinda Remaly,8111 N St. Louis Ave,Skokie,60076,847983-1119,,16,8,9,D
Cook,School,150160014,0,343,Keshet Transition Prg Int,Dr. Melinda Remaly,8111 Saint Louis Ave,Skokie,60076 2968,773973-2828,,16,8,9,D
