CountyName,RecType,"Region-2 County-3 District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat,NCES ID
,REGIONAL PRG,110000000,0,9302,Paris Bridges,Dr. Bobbi Mattingly,210 E Court St,Paris,61944 2292,217463-3044,6-12,102,51,15,A,170017504659
,REGIONAL PRG,110000000,0,9303,Lerna Bridges,Mr. Jerry L Calandrilla,PO Box 129,Lerna,62440 0129,217235-4867,6-12,110,55,15,A,170017504660
,REGIONAL PRG,110000000,0,9304,Shelbyville Bridges,Mr. Kyle Thompson,201 E North 12th St,Shelbyville,62565 1018,217774-1037,6-12,102,51,15,A,170017504672
,ROE,120000000,0,0,Clay/Cwford/Jsper/Lwrnce/Rhland,Mr. Monte A Newlin,103 W Main St,Olney,62450 2170,618392-4631,6-12,109,55,15,1,1700173
,REGIONAL PRG,120000000,0,9202,ASSIST TAOEP 12,Mr. Roy C Clapp,PO Box 77,Willow Hill,62480 0077,618455-3605,6-12,109,55,15,A,170017302440
,REGIONAL PRG,120000000,0,9307,ASSIST RSSP 12,Mr. Roy C Clapp,PO Box 77,Willow Hill,62480 0077,618455-3605,6-12,109,55,15,A,170017306215
,ROE,130000000,0,0,Clintn/Jeffrsn/Marin/Washngtn ROE,Hon. Ron Daniels,1710 Broadway St,Mount Vernon,62864 2930,618244-8040,P-12,108,54,15,1,1700174
,REGIONAL PRG,130000000,0,9202,Centralia Alternative School,Mr. Brad Weathers,1000 E 3rd St,Centralia,62801 3613,618532-8465,7-12,107,54,15,A,170017402445
,REGIONAL PRG,130000000,0,9205,Mt Vernon Alternative School,Mr. Steve Shifflet,2300 Benton Rd,Mount Vernon,62864 6132,618316-7071,6-12,115,58,12,A,170018502806
,REGIONAL PRG,130000000,0,9301,Safe School Program  Centralia,Mr. Brad Weathers,1000 E 3rd St,Centralia,62801 3613,618548-3885,7-12,107,54,15,A,170017402446
,REGIONAL PRG,130000000,0,9303,Safe School Program,Mr. Steve Shifflet,2300 Benton Rd,Mount Vernon,62864 6132,618316-7071,6-12,115,58,12,A,170018502811
,REGIONAL PRG,130000000,0,9401,Clnton/Mrn/Wshngtn Pre-Kind Prog,Ms. Brittany Boldt,1710 Broadway St,Mount Vernon,62864 2930,618244-8040,P,107,54,15,A,170017402456
,ROE,160000000,0,0,De Kalb ROE,Hon. Amanda Christensen,2500 N Annie Glidden Rd Ste C,Dekalb,60115 1310,815217-0460,P-12,70,35,16,1,1700178
,REGIONAL PRG,160000000,0,9301,KEC Central EFE 170,Mr. Tom Crouch,PO Box 263,Malta,60150 0263,815825-2000,7-12,90,45,16,A,170017802632
,ROE,170000000,0,0,DeWitt/Livingstn/Logan/McLean ROE,Hon. Mark E Jontry,200 W Front St Ste 500D,Bloomington,61701 5074,309888-5120,7-12,88,44,13,1,1700177
,REGIONAL PRG,170000000,0,9301,Safe School Program,Mark Jontry,408 W Washington St,Bloomington,61701 3808,309828-5807,7-12,88,44,13,A,170017702636
,REGIONAL PRG,170000000,0,9501,Regional Alop School,Mark Jontry,408 W Washington St,Bloomington,61701 3808,309828-5807,9-12,88,44,13,A,170017705694
,ROE,190000000,0,0,DuPage ROE,Hon. Darlene Ruscitti,421 N County Farm Rd,Wheaton,60187 3978,630407-5800,6-12,42,21,6,1,1700179
,REGIONAL PRG,190000000,0,9301,Partners for Success-Old Mill Sch,Dr. Darlene Ruscitti,848 N Mill Rd,Addison,60101 1257,630543-4222,6-12,77,39,8,A,170017902654
,REGIONAL PRG,190000000,0,9501,DuPage Alop,Dr. Darlene Ruscitti,421 N County Farm Rd,Wheaton,60187 3978,630407-5772,6-12,42,21,6,A,170017905696
,ROE,200000000,0,0,Edw/Glt/Hlt/Hdn/Pop/Sln/Wbh/Wn/Wh ROE,Hon. Lawrence Fillingim,305 N Powell St,Norris City,62869 1005,618253-5581,6-12,118,59,15,1,1700180
,REGIONAL PRG,200000000,0,9201,ROE 20 Learning Alt Branch School,Mr. Jim P Taylor,305 N Powell St,Norris City,62869 1005,618841-3042,6-12,118,59,15,A,170018002658
,REGIONAL PRG,200000000,0,9301,ROE 20 Learning Alternative Branch School,Mr. Jim P Taylor,305 N Powell St,Norris City,62869 1005,618841-3042,6-12,109,55,15,A,170018002669
,ROE,210000000,0,0,Frankln/Johnsn/Massc/Willimsn ROE,Hon. Lorie LeQuatte,901 Public Square,Benton,62812 1300,618438-9711,4-12,117,59,12,1,1700182
,REGIONAL PRG,210000000,0,9201,Project Echo,Mrs. Lorie LeQuatte,PO Box 238,Johnston City,62951 0238,618983-6628,6-12,117,59,12,A,170018202670
,REGIONAL PRG,210000000,0,9202,ECHO Juvenile Detention Ctr Program,Lorie LeQuatte,409 E Washington St,Benton,62812 2180,618983-6628,4-12,117,59,12,A,170018206181
,REGIONAL PRG,210000000,0,9301,Starquest Acad RSSP North,Mrs. Lorie LeQuatte,PO Box 303,Johnston City,62951 0303,618983-5625,6-8,117,59,12,A,170018202674
,REGIONAL PRG,210000000,0,9303,Starquest Acad RSSP South,Ms. Lorie LeQuatte,1102 W 10th St,Metropolis,62960 2432,618342-6778,6-12,118,59,15,A,170016302270
,ROE,240000000,0,0,Grundy/Kendall ROE,Hon. Christopher D Mehochko,1320 Union St,Morris,60450 2426,815941-3247,6-12,75,38,16,1,1700184
,REGIONAL PRG,240000000,0,9201,Premier Academy Morris TAOEP,Mrs. Meghan S Martin,7700 Ashley Rd,Morris,60450 9303,815416-0377,6-12,75,38,16,A,170018406203
,REGIONAL PRG,240000000,0,9301,Premier Academy Morris,Mrs. Meghan S Martin,7700 Ashley Rd,Morris,60450 9303,815416-0377,8-12,75,38,16,A,170018402707
,REGIONAL PRG,240000000,0,9306,YEA Program,Mr. Joel Wyeth,709 Game Farm Rd,Yorkville,60560,630553-4382,6-12,50,25,14,A,170018402725
,REGIONAL PRG,240000000,0,9307,Oswego GOAL,Ms. Meredith Gerardot,61 Franklin St,Oswego,60543 8336,630636-3915,6-12,50,25,14,A,170018402767
,REGIONAL PRG,240000000,0,9309,Project Indian,Carol Whiteaker,101 W Wapella St,Minooka,60447,815521-2371,9-12,75,38,16,A,170018405892
,REGIONAL PRG,240000000,0,9312,FLEX Program,Ms. Laurel Mateyka,704 W Abe St,Plano,60545 1180,630552-3178,9-12,75,38,14,A,170018406225
,ROE,260000000,0,0,Hancck/Fultn/Schuylr/McDonogh ROE,Hon. John Meixner,130 S Lafayette St Ste 200,Macomb,61455 2280,309575-3226,6-12,93,47,18,1,1700186
,REGIONAL PRG,260000000,0,9201,ROYALS Academy Carthage,Hon. John Meixner,553 Main St,Carthage,62321 1338,309575-3226,9-12,94,47,18,A,170018602815
,REGIONAL PRG,260000000,0,9202,ROYALS Academy Macomb,Hon. John Meixner,341 S Johnson St,Macomb,61455 2138,309575-3226,9-12,93,47,18,A,170018602819
,REGIONAL PRG,260000000,0,9203,ROYALS Academy Canton,Hon. John Meixner,23235 N County Highway 22,Canton,61520 8907,309575-3226,9-12,91,46,17,A,170018302681
,REGIONAL PRG,260000000,0,9301,ROYALS RSSP Macomb,Hon. John Meixner,341 S Johnson St,Macomb,61455 2138,309575-3226,6-12,93,47,18,A,170018602822
,REGIONAL PRG,260000000,0,9302,ROYALS RSSP Carthage,Hon. John Meixner,553 Main St,Carthage,62321 1338,309575-3226,6-12,94,47,18,A,170018602823
,REGIONAL PRG,260000000,0,9303,ROYALS RSSP Canton,Hon. John Meixner,749 E Locust St,Canton,61520 2063,309575-3226,6-12,91,46,17,A,170018302685
,ROE,280000000,0,0,Bureau/Henry/Stark ROE,Hon. Angie Zarvell,107 S State St,Atkinson,61235 9788,309936-7890,"P,6-12",74,37,17,1,1700168
,REGIONAL PRG,280000000,0,9301,Reg'l Safe School Program ROE #28,Mrs. Kathy Marshall,107 S State St,Atkinson,61235 9788,309936-7890,6-12,74,37,16,A,170016804775
,ROE,300000000,0,0,Alxndr/Jcksn/Pulsk/Prry/Union ROE,Hon. Cheryl Graff,1001 Walnut St,Murphysboro,62966 2177,618687-7290,6-12,115,58,12,1,1700190
,REGIONAL PRG,300000000,0,9201,Jackson/Perry Project SOAR MS TAOEP,Hon. Cheryl Graff,120 E Spring St,Du Quoin,62832 1762,618687-7290,6-8,115,58,12,A,170019006321
,REGIONAL PRG,300000000,0,9202,Five County Regional Alternative,Hon. Cheryl Graff,1001 Walnut Street,Murphysboro,62966,618687-7290,6-12,118,59,12,A,170016302265
,REGIONAL PRG,300000000,0,9301,Cope Alternative School,Dr. Ronda Dunn,1725B Shomaker Dr,Murphysboro,62966 2507,618684-2913,6-12,115,58,12,A,170019002866
,REGIONAL PRG,300000000,0,9501,Project SOAR Alternative Optional Ed Program,Hon. Cheryl Graff,120 E Spring St,Du Quoin,62832 1762,618687-7290,9-12,15,58,12,A,170019006336
,ROE,310000000,0,0,Kane ROE,Hon. Patricia Dal Santo,28 N 1st St,Geneva,60134 2285,630232-5969,4-12,65,33,14,1,1700191
,REGIONAL PRG,310000000,0,9301,Gifford St Regional Safe Sch Prog,Mrs. Deanna Oliver,46 S Gifford St,Elgin,60120 6522,630232-5963,6-12,43,22,8,A,170019102878
,REGIONAL PRG,310000000,0,9302,East Aurora HS RSSP,Mrs. Deanna Oliver,1685 N Farnsworth Ave,Aurora,60505 1509,630232-5963,7-12,83,42,11,A,170019106186
,REGIONAL PRG,310000000,0,9303,Mades-Johnstone RSSP,Mrs. Deanna Oliver,1304 Ronzheimer Ave,St Charles,60174 4450,630232-5963,6-12,49,25,14,A,170019106185
,REGIONAL PRG,310000000,0,9304,Oak Ridge RSSP,Mrs. Deanna Oliver,300 Cleveland Ave,Carpentersville,60110 1977,630232-5963,6-12,43,22,8,A,170019106184
,REGIONAL PRG,310000000,0,9305,West Aurora HS RSSP,Mrs. Deanna Oliver,1720 N Randall Rd,Aurora,60506 1038,630232-5963,9-12,50,25,11,A,170019106187
,REGIONAL PRG,310000000,0,9501,New Directions Program,Dr. Marianne Fidishin,1304 Ronzheimer Ave,St Charles,60174 4450,630513-5392,4-12,49,25,14,A,170019106239
,REGIONAL PRG,310000000,0,9502,SUCCESS Academy,Mrs. Marti Neahring,1720 N Randall Rd,Aurora,60506 1038,630301-5050,6-12,83,42,11,A,
,REGIONAL PRG,310000000,0,9503,PAWS,Mrs. Natalie Assell,1201 Main St,Batavia,60510 1607,630937-8600,9-12,65,42,11,A,
,REGIONAL PRG,310000000,0,9504,Success Academy,Asia Gurney,100 Cleveland Ave,Carpentersville,60110 1960,847484-2100,6-8,43,22,6,A,
,REGIONAL PRG,310000000,0,9505,Success Academy HS,Devon LaRosa,1500 Kings Rd,Carpentersville,60110 1480,847484-5000,9-12,43,22,6,A,
,REGIONAL PRG,310000000,0,9506,DREAM Academy,Lourdes Baker,46 S Gifford St,Elgin,60120 6522,847888-5000,7-12,43,22,8,A,
,ROE,320000000,0,0,Iroquois/Kankakee ROE,Hon. Gregg Murphy,1 Stuart Dr,Kankakee,60901 8947,815937-2950,6-12,79,40,2,1,1700189
,REGIONAL PRG,320000000,0,9201,Salt School,Ms. Kila Pickett,50 W Industrial Dr,Kankakee,60901 8133,815935-7282,9-12,79,40,2,A,170018905710
,REGIONAL PRG,320000000,0,9301,I Kan Regional Alternatve Att Ctr,Ms. Justine Wills,50 W Industrial Dr,Kankakee,60901 8133,815933-4918,6-12,79,40,2,A,170018902916
,ROE,330000000,0,0,Henderson/Knox/Mercer/Warren ROE,Hon. Jodi Scott,105 N E St Ste 1,Monmouth,61462 1667,309734-6822,P-12,93,47,17,1,1700192
,REGIONAL PRG,330000000,0,9201,RAES Night School,Hon. Jodi Scott,121 S Prairie St.,Galesburg,61401 3874,309345-3828,6-12,74,37,17,A,170019206069
,REGIONAL PRG,330000000,0,9202,RAES West Alt Ed,Hon. Jodi Scott,105 N E St Ste 1,Monmouth,61462 1667,309734-3818,6-12,94,47,17,A,170018704060
,REGIONAL PRG,330000000,0,9203,RAES East Alt Ed,Mrs. Jodi Scott,325 E Main St,Galesburg,61401 4812,309345-0101,6-12,74,37,17,A,
,REGIONAL PRG,330000000,0,9301,RAES RSSP,Hon. Jodi Scott,121 S Prairie St,Galesburg,61401 4647,309734-6822,6-12,74,37,17,A,170019202923
,REGIONAL PRG,330000000,0,9302,RAES West,Hon. Jodi Scott,105 N E St Ste 1,Monmouth,61462 1667,309734-3818,6-12,94,47,17,A,170018702826
,ROE,340000000,0,0,Lake ROE,Hon. Roycealee Wood,800 Lancer Ln # E128,Grayslake,60030 2654,847543-7833,6-12,62,31,10,1,1700193
,REGIONAL PRG,340000000,0,9301,ROE Alternative Prog of Lake Co,Mr. Michael Munda,1620 23rd St,Zion,60099 2345,847872-1900,6-12,61,31,10,A,170019302965
,REGIONAL PRG,340000000,0,9501,Lake Co Collaborative Alop,Dr. Carol DuClos,18160 W Gages Lake Rd,Grayslake,60030 1819,847548-8470,7-12,62,31,10,A,170019305829
,REGIONAL PRG,340000000,0,9502,Wauconda CUSD 118 ALOP,Ms. Valerie M Donnan,555 N Main St,Wauconda,60084 1229,847526-7950,9-10,62,31,14,A,170019306229
,ROE,350000000,0,0,La Salle/Marshall/Putnam ROE,Hon. Christopher B Dvorak,119 W Madison St Rm 102,Ottawa,61350 5014,815434-0780,6-12,76,38,16,1,1700194
,REGIONAL PRG,350000000,0,9101,LaSalle County Detention Home,Mr. Chris Dvorak,707 E Etna Rd,Ottawa,61350 1047,815434-8300,8-11,76,38,16,A,170019404095
,REGIONAL PRG,350000000,0,9202,LMP ROE TAOEP,Ms. Jennifer Ahlfield,119 W Madison St Rm 102,Ottawa,61350 5014,815434-0780,6-12,76,38,11,A,170019406330
,REGIONAL PRG,350000000,0,9301,LMP ROE,Ms. Jennifer Ahlfield,2233 6th St,Peru,61354 2516,815220-3560,6-12,76,38,16,A,170019402993
,ROE,390000000,0,0,Macon/Piatt ROE,Hon. Matthew T Snyder,1690 Huston Dr,Decatur,62526 2853,217872-3721,"1,4,6-12",96,48,13,1,1700197
,REGIONAL PRG,390000000,0,9201,Futures Unlimited,Mr. Edward Boehm,250 E William St,Decatur,62523 1139,217429-1054,9-12,96,48,13,A,170019703048
,REGIONAL PRG,390000000,0,9204,St Marys Adolescent Ed Program,Ms. Heather Benner,1800 E Lake Shore Dr,Decatur,62521 3810,217464-5000,"1,4,6-11",96,48,13,A,170019705839
,REGIONAL PRG,390000000,0,9301,Milligan Academy Rssp,Mr. Brian H Plummer,300 E Eldorado St,Decatur,62523 1037,217424-3062,7-11,96,48,13,A,170019703057
,ROE,400000000,0,0,Calhoun/Greene/Jersy/Macoupin ROE,Hon. Michelle Mueller,225 E Nicholas St,Carlinville,62626 1382,217854-4016,6-12,95,48,13,1,1700169
,REGIONAL PRG,400000000,0,9201,ROE Adult Learning Ctr Macoupin,Hon. Michelle Mueller,18400 Shipman Rd,Carlinville,62626 9238,217854-9542,10-12,95,48,13,A,170016903058
,REGIONAL PRG,400000000,0,9202,ROE Adult Learning Ctr Jersey,Hon. Michelle Mueller,201 W Exchange St,Jerseyville,62052 1602,618498-5541,10-12,100,50,13,A,170016903091
,REGIONAL PRG,400000000,0,9301,ROE Safe Sch Macoupin,Hon. Michelle Mueller,506 N High St,Carlinville,62626 1351,217854-9542,6-12,95,48,13,A,170016903098
,REGIONAL PRG,400000000,0,9302,ROE Safe Sch Greene,Hon. Michelle Mueller,250 E Sherman St,White Hall,62092 1359,217374-2411,6-12,100,50,13,A,170016903099
,ROE,410000000,0,0,Madison ROE,Hon. Robert Daiber,157 N Main St Ste 438,Edwardsville,62025 1960,618296-4632,6-12,112,56,13,1,1700198
,REGIONAL PRG,410000000,0,9303,Center for Educ Opp,Dr. Robert A Daiber,201 Staunton Rd,Troy,62294 1227,618667-0633,6-12,108,54,15,A,170019805989
,ROE,440000000,0,0,McHenry ROE,Hon. Leslie Schermerhorn,2200 N Seminary Ave,Woodstock,60098 2637,815334-4475,8-12,63,32,14,1,1700200
,REGIONAL PRG,440000000,0,9301,Evergreen Academy,Ms. Leslie Schermerhorn,6506 National St,Union,60180 9638,815923-2789,6-12,63,32,14,A,170020003117
,ROE,450000000,0,0,Monroe/Randolph ROE,Hon. Kelton Davis,107 E Mill St,Waterloo,62298 1518,618939-5650,6-12,116,58,12,1,1700202
,REGIONAL PRG,450000000,0,9201,CCSI Alternative School,Mr. Kelton Davis,6137 Beck Rd,Red Bud,62278 3347,618473-2222,9-12,116,58,12,A,170020203189
,REGIONAL PRG,450000000,0,9301,Monroe/Randolph Red Brick Sch,Hon. Kelton Davis,6137 Beck Rd,Red Bud,62278 3347,618473-2222,6-12,116,58,12,A,170020203193
,REGIONAL PRG,450000000,0,9302,Red Brick School Omega,Hon. Kelton Davis,6137 Beck Rd,Red Bud,62278 3347,618473-2222,9-12,16,58,12,A,
,ROE,470000000,0,0,Lee/Ogle/Whiteside ROE,Hon. Robert Sondgeroth,1001 W 23rd St,Sterling,61081 9047,815625-1495,4-12,90,45,16,1,1700195
,REGIONAL PRG,470000000,0,9301,Rock River Challenge,Mr. Terry Camplain,PO Box 91,Chana,61015 0091,815732-4664,6-12,90,45,16,A,170019504852
,REGIONAL PRG,470000000,0,9303,Nachusa Campus RSSP,Mrs. Janet Kacvinsky,PO Box 55,Nachusa,61057 0055,815284-7796,6-12,45,45,14,A,170019506214
,REGIONAL PRG,470000000,0,9304,Regional Center for Change,Mrs. Janet Kacvinsky,1001 W 23rd St,Sterling,61081 9047,815625-1495,7-12,71,36,17,A,170021203325
,REGIONAL PRG,470000000,0,9501,Nachusa Campus School,Mrs. Janet Kacvinsky,PO Box 100,Nachusa,61057 0100,815284-7796,4-12,90,45,16,A,170019505735
,REGIONAL PRG,470000000,0,9502,Morrison Alt Learning Program,Mrs. Kay Harwood,300 Academic Dr,Morrison,61270 2952,815772-7264,9-12,71,36,17,A,
,ROE,480000000,0,0,Peoria ROE,Hon. Elizabeth A Derry,324 Main St Rm 401,Peoria,61602 2302,309672-6906,6-12,92,46,17,1,1700203
,REGIONAL PRG,480000000,0,9201,Peoria Regional High School,Mr. Randy Stueve,3826 N Taylor Rd,Hanna City,61536 9467,309495-6800,9-12,73,37,18,A,170020306202
,REGIONAL PRG,480000000,0,9301,Greeley Alternative School,Hon. Elizabeth A Derry,1800 NE Perry Ave,Peoria,61603 3461,309672-6520,6-12,92,46,17,A,170020305736
,ROE,490000000,0,0,Rock Island ROE,Hon. Tammy L Muerhoff,3430 Avenue of The Cities,Moline,61265 4417,309736-1111,6-12,71,36,17,1,1700204
,REGIONAL PRG,490000000,0,9302,Coolidge RSSP,Mr. Chad Davis,3428 Avenue of The Cities,Moline,61265 4417,309743-8587,7-8,71,36,17,A,170020406201
,REGIONAL PRG,490000000,0,9303,MLK A R T Program,Mr. Joey Diiulio,9607 14th St W,Rock Island,61201 7844,309793-5980,6-8,72,36,17,A,170020406200
,ROE,500000000,0,0,St Clair ROE,Hon. Susan Sarfaty,1000 S Illinois St,Belleville,62220 2537,618825-3900,5-12,113,57,12,1,1700208
,REGIONAL PRG,500000000,0,9301,St Clair Co ROE Safe School,Mr. Fritz Holcomb,1722 W Main St,Belleville,62226 7474,618233-6874,5-12,113,57,12,A,170020803239
,ROE,510000000,0,0,Menard/Sangamon ROE,Hon. Jeff S Vose,2201 S Dirksen Pkwy,Springfield,62703 4564,217753-6620,7-12,96,48,13,1,1700206
,REGIONAL PRG,510000000,0,9201,Sangamon County Learning Academy,Julie Sullivan,2201 Toronto Rd Ste C,Springfield,62712 3810,217529-3390,8-12,99,50,13,A,170020603258
,REGIONAL PRG,510000000,0,9301,Sangamon Safe School Program,Dr. Mary Loken,2201 Toronto Rd,Springfield,62712 3802,217585-8090,7-12,99,50,13,A,170020603267
,REGIONAL PRG,510000000,0,9302,Salt Creek Academy,Mr. Del Sutter,30819 Fancy Prairie Ave,Athens,62613 7519,217566-3841,6-12,87,44,18,A,170019603037
,ROE,530000000,0,0,Mason/Tazewell/Woodford ROE,Hon. Phillip Patrick Durley,414 Court St Ste 100,Pekin,61554 3173,309477-2290,P-12,91,46,17,1,1700209
,REGIONAL PRG,530000000,0,9202,ROE 53 Academy,Ms. Julie Hicks,107 Riverview Dr,Creve Coeur,61610 3802,309698-8034,9-12,91,46,17,A,170020906194
