from_home_rcdts,from_home_school,from_serving_rcdts,from_serving_school,to_home_rcdts,to_home_school,to_home_district,to_serving_rcdts,to_serving_school,to_serving_district,student_id_no,school_year,enrollment_date,exit_date,exit_code,exit_desc
150162990250545,Clemente Community Academy HS,150162990250545,Clemente Community Academy HS,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,2378470,2010,09/08/09,01/14/10,1,Transfer to another public school district
150162990250798,Dyett High School                ,150162990250798,Dyett High School                ,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,2718092,2010,09/08/09,09/08/09,11,"Moved, not known to be continuing"
150162990252785,Powell Elem Paideia Comm Academy,150162990252785,Powell Elem Paideia Comm Academy,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,2731672,2010,09/04/09,12/08/09,1,Transfer to another public school district
150162990250034,Phillips Academy High School,150162990250034,Phillips Academy High School,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,3041247,2010,09/08/09,09/14/09,1,Transfer to another public school district
150162990250827,Clark Acad Prep Magnet High Schl,150162990250827,Clark Acad Prep Magnet High Schl,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,336645,2010,09/08/09,02/10/10,1,Transfer to another public school district
150162990252444,Schubert Elem School,150162990252444,Schubert Elem School,041012050252014,Barbour Two-Way Lang Immersion,Rockford SD 205,041012050252014,Barbour Two-Way Lang Immersion,Rockford SD 205,2358505,2010,08/10/09,03/29/10,1,Transfer to another public school district
150162990252444,Schubert Elem School,150162990252444,Schubert Elem School,041012050252014,Barbour Two-Way Lang Immersion,Rockford SD 205,041012050252014,Barbour Two-Way Lang Immersion,Rockford SD 205,2430488,2010,08/10/09,04/22/10,1,Transfer to another public school district
150162990252179,Dvorak Technology Acad Elem Sch,150162990252179,Dvorak Technology Acad Elem Sch,041012050251008,Bernard W Flinn Middle School,Rockford SD 205,041012050251008,Bernard W Flinn Middle School,Rockford SD 205,1728689,2010,01/20/10,02/10/10,1,Transfer to another public school district
150162990252374,Nixon Elem School,150162990252374,Nixon Elem School,041012050251008,Bernard W Flinn Middle School,Rockford SD 205,041012050251008,Bernard W Flinn Middle School,Rockford SD 205,2279836,2010,09/08/09,12/08/09,1,Transfer to another public school district
150162990252804,Metcalfe Elem Community Academy,150162990252804,Metcalfe Elem Community Academy,041012050252016,Beyer Elem School,Rockford SD 205,041012050252016,Beyer Elem School,Rockford SD 205,2633363,2010,08/10/09,10/21/09,1,Transfer to another public school district
150162990252804,Metcalfe Elem Community Academy,150162990252804,Metcalfe Elem Community Academy,041012050252016,Beyer Elem School,Rockford SD 205,041012050252016,Beyer Elem School,Rockford SD 205,2674017,2010,08/10/09,10/21/09,1,Transfer to another public school district
150162990252189,Emmet Elem School,150162990252189,Emmet Elem School,041012050252016,Beyer Elem School,Rockford SD 205,041012050252016,Beyer Elem School,Rockford SD 205,2865106,2010,08/10/09,04/13/10,1,Transfer to another public school district
150162990252961,Hope Inst Learning Acad Elem School,150162990252961,Hope Inst Learning Acad Elem School,041012050252016,Beyer Elem School,Rockford SD 205,041012050252016,Beyer Elem School,Rockford SD 205,3143786,2010,09/08/09,09/09/09,11,"Moved, not known to be continuing"
150162990252252,Hayt Elem School,150162990252252,Hayt Elem School,041012050252018,Brookview Elem School,Rockford SD 205,041012050252018,Brookview Elem School,Rockford SD 205,2420769,2010,09/08/09,05/26/10,1,Transfer to another public school district
150162990252896,Little Village Elem School,150162990252896,Little Village Elem School,041012050252018,Brookview Elem School,Rockford SD 205,041012050252018,Brookview Elem School,Rockford SD 205,2852895,2010,09/08/09,12/08/09,1,Transfer to another public school district
150162990252896,Little Village Elem School,150162990252896,Little Village Elem School,041012050252018,Brookview Elem School,Rockford SD 205,041012050252018,Brookview Elem School,Rockford SD 205,3131690,2010,07/01/09,05/12/10,1,Transfer to another public school district
150162990252160,Disney Elem Magnet School,150162990252160,Disney Elem Magnet School,041012050252017,C Henry Bloom Elem School,Rockford SD 205,041012050252017,C Henry Bloom Elem School,Rockford SD 205,2418737,2010,09/08/09,10/16/09,1,Transfer to another public school district
150162990252429,Ryder Elem Math & Sci Spec School,150162990252429,Ryder Elem Math & Sci Spec School,041012050252017,C Henry Bloom Elem School,Rockford SD 205,041012050252017,C Henry Bloom Elem School,Rockford SD 205,2717743,2010,01/05/10,03/16/10,1,Transfer to another public school district
150162990252429,Ryder Elem Math & Sci Spec School,150162990252429,Ryder Elem Math & Sci Spec School,041012050252017,C Henry Bloom Elem School,Rockford SD 205,041012050252017,C Henry Bloom Elem School,Rockford SD 205,2717744,2010,01/04/10,03/16/10,1,Transfer to another public school district
150162990252089,Boone Elem School,150162990252089,Boone Elem School,041012050252017,C Henry Bloom Elem School,Rockford SD 205,041012050252017,C Henry Bloom Elem School,Rockford SD 205,3011734,2010,03/25/10,05/12/10,1,Transfer to another public school district
150162990252429,Ryder Elem Math & Sci Spec School,150162990252429,Ryder Elem Math & Sci Spec School,041012050252017,C Henry Bloom Elem School,Rockford SD 205,041012050252017,C Henry Bloom Elem School,Rockford SD 205,3143908,2010,01/04/10,03/16/10,1,Transfer to another public school district
150162990252896,Little Village Elem School,150162990252896,Little Village Elem School,041012050252020,Cherry Valley Elem School,Rockford SD 205,041012050252020,Cherry Valley Elem School,Rockford SD 205,2389076,2010,09/08/09,12/08/09,1,Transfer to another public school district
150162990252775,Joplin Elem School,150162990252775,Joplin Elem School,041012050252022,Conklin Elem School,Rockford SD 205,041012050252022,Conklin Elem School,Rockford SD 205,3010268,2010,10/29/09,01/14/10,1,Transfer to another public school district
150162990252262,Herbert Elem School,150162990252262,Herbert Elem School,041012050252022,Conklin Elem School,Rockford SD 205,041012050252022,Conklin Elem School,Rockford SD 205,3257003,2010,12/11/09,03/07/10,1,Transfer to another public school district
150162990252160,Disney Elem Magnet School,150162990252160,Disney Elem Magnet School,041012050251006,Eisenhower Middle School,Rockford SD 205,041012050251006,Eisenhower Middle School,Rockford SD 205,2339455,2010,09/08/09,10/07/09,1,Transfer to another public school district
150162990252167,Dore Elem School,150162990252167,Dore Elem School,041012050251006,Eisenhower Middle School,Rockford SD 205,041012050251006,Eisenhower Middle School,Rockford SD 205,2339695,2010,09/08/09,02/03/10,1,Transfer to another public school district
150162990252338,Mayo Elem School,150162990252338,Mayo Elem School,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,2279472,2010,09/08/09,06/18/10,1,Transfer to another public school district
150162990252393,Parkman Elem School,150162990252393,Parkman Elem School,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,2413709,2010,09/08/09,04/10/10,1,Transfer to another public school district
150162990252487,Tilton Elem School,150162990252487,Tilton Elem School,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,2415821,2010,09/08/09,09/16/09,1,Transfer to another public school district
150162990252393,Parkman Elem School,150162990252393,Parkman Elem School,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,2423488,2010,09/08/09,04/10/10,1,Transfer to another public school district
15016299025226C,Polaris Elem Charter Academy,15016299025226C,Polaris Elem Charter Academy,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,2649749,2010,08/17/09,10/23/09,1,Transfer to another public school district
15016299025226C,Polaris Elem Charter Academy,15016299025226C,Polaris Elem Charter Academy,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,2743779,2010,08/17/09,11/10/09,1,Transfer to another public school district
150162990252509,West Pullman Elem School,150162990252509,West Pullman Elem School,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,3020712,2010,01/16/10,06/18/10,1,Transfer to another public school district
150162990252768,Smith  W Elem School,150162990252768,Smith  W Elem School,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,3114514,2010,09/15/09,02/19/10,1,Transfer to another public school district
150162990252768,Smith  W Elem School,150162990252768,Smith  W Elem School,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,3123284,2010,09/15/09,02/19/10,1,Transfer to another public school district
150162990252807,Randolph Elem School,150162990252807,Randolph Elem School,041012050252024,Ellis Arts Academy,Rockford SD 205,041012050252024,Ellis Arts Academy,Rockford SD 205,3273346,2010,08/10/09,03/16/10,1,Transfer to another public school district
150162990252093,Brennemann Elem School,150162990252093,Brennemann Elem School,041012050252029,Gregory Elem School,Rockford SD 205,041012050252029,Gregory Elem School,Rockford SD 205,2401987,2010,09/08/09,09/23/09,3,Transfer to Home Schooled
150162990252487,Tilton Elem School,150162990252487,Tilton Elem School,041012050252029,Gregory Elem School,Rockford SD 205,041012050252029,Gregory Elem School,Rockford SD 205,2861435,2010,09/08/09,06/18/10,1,Transfer to another public school district
150162990252487,Tilton Elem School,150162990252487,Tilton Elem School,041012050252029,Gregory Elem School,Rockford SD 205,041012050252029,Gregory Elem School,Rockford SD 205,2933704,2010,09/08/09,06/18/10,1,Transfer to another public school district
150162990250616,Manley Career Academy High School,150162990250616,Manley Career Academy High School,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,1517835,2010,09/04/09,04/05/10,1,Transfer to another public school district
150162990252263,Herzl Elem School,150162990252263,Herzl Elem School,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,1529843,2010,08/10/09,11/09/09,1,Transfer to another public school district
150162990250011,Farragut Career Academy HS,150162990250011,Farragut Career Academy HS,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,2181767,2010,09/14/09,01/21/10,4,Transfer to Private School
150162990250811,,150162990250811,,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,2204217,2010,09/08/09,10/06/09,11,"Moved, not known to be continuing"
150162990250798,Dyett High School                ,150162990250798,Dyett High School                ,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,2211192,2010,11/18/09,03/10/10,1,Transfer to another public school district
150162990250017,Harper High School,150162990250017,Harper High School,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,2219288,2010,09/08/09,10/27/09,1,Transfer to another public school district
150162990252387,OToole Elem School,150162990252387,OToole Elem School,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,2260531,2010,08/10/09,10/30/09,1,Transfer to another public school district
150162990250811,,150162990250811,,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,2622277,2010,08/13/09,09/08/09,11,"Moved, not known to be continuing"
150162990250811,,150162990250811,,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,2622279,2010,09/08/09,09/08/09,11,"Moved, not known to be continuing"
150162990252729,White Elem Career Academy,150162990252729,White Elem Career Academy,041012050250003,Guilford High School,Rockford SD 205,041012050250003,Guilford High School,Rockford SD 205,3179344,2010,09/28/09,04/23/10,1,Transfer to another public school district
150162990252462,Spencer Technology Acad Elem Sch,150162990252462,Spencer Technology Acad Elem Sch,041012050252034,Haskell Academy,Rockford SD 205,041012050252034,Haskell Academy,Rockford SD 205,2685733,2010,09/09/09,12/15/09,1,Transfer to another public school district
150162990252785,Powell Elem Paideia Comm Academy,150162990252785,Powell Elem Paideia Comm Academy,04101205025203C,Jackson Charter School,Rockford SD 205,04101205025203C,Jackson Charter School,Rockford SD 205,1531767,2010,08/10/09,03/16/10,1,Transfer to another public school district
150162990252336,May Elem Community Academy,150162990252336,May Elem Community Academy,04101205025203C,Jackson Charter School,Rockford SD 205,04101205025203C,Jackson Charter School,Rockford SD 205,3246299,2010,10/15/09,12/08/09,1,Transfer to another public school district
150162990250805,,150162990250805,,041012050250004,Jefferson High School,Rockford SD 205,041012050250004,Jefferson High School,Rockford SD 205,1523500,2010,07/02/09,04/23/10,1,Transfer to another public school district
150162990252179,Dvorak Technology Acad Elem Sch,150162990252179,Dvorak Technology Acad Elem Sch,041012050250002,Rockford East High School,Rockford SD 205,041012050250004,Jefferson High School,Rockford SD 205,1533720,2010,01/21/10,01/29/10,1,Transfer to another public school district
150162990252179,Dvorak Technology Acad Elem Sch,150162990252179,Dvorak Technology Acad Elem Sch,041012050250002,Rockford East High School,Rockford SD 205,041012050250004,Jefferson High School,Rockford SD 205,1533720,2010,01/21/10,01/29/10,1,Transfer to another public school district
150162990252203,Field Elem School,150162990252426,Rogers Elem School,041012050250004,Jefferson High School,Rockford SD 205,041012050250004,Jefferson High School,Rockford SD 205,1535228,2010,09/08/09,11/02/09,1,Transfer to another public school district
150162990252597,Hernandez Middle School,150162990252597,Hernandez Middle School,041012050250004,Jefferson High School,Rockford SD 205,041012050250004,Jefferson High School,Rockford SD 205,2282894,2010,07/02/09,09/29/09,1,Transfer to another public school district
150162990252194,Falconer Elem School,150162990252194,Falconer Elem School,041012050252047,John Nelson Elem School,Rockford SD 205,041012050252047,John Nelson Elem School,Rockford SD 205,2634394,2010,09/08/09,12/08/09,1,Transfer to another public school district
150162990252194,Falconer Elem School,150162990252194,Falconer Elem School,041012050252047,John Nelson Elem School,Rockford SD 205,041012050252047,John Nelson Elem School,Rockford SD 205,3156294,2010,09/18/09,12/08/09,1,Transfer to another public school district
150162990252194,Falconer Elem School,150162990252194,Falconer Elem School,041012050252047,John Nelson Elem School,Rockford SD 205,041012050252047,John Nelson Elem School,Rockford SD 205,3261052,2010,09/08/09,12/08/09,1,Transfer to another public school district
150162990252393,Parkman Elem School,150162990252393,Parkman Elem School,041012050252041,Julia Lathrop Elem School,Rockford SD 205,041012050252041,Julia Lathrop Elem School,Rockford SD 205,2448790,2010,09/08/09,01/29/10,1,Transfer to another public school district
150162990252492,Lavizzo Elem School,150162990252492,Lavizzo Elem School,041012050251010,Kennedy Middle School,Rockford SD 205,041012050251010,Kennedy Middle School,Rockford SD 205,124943,2010,11/03/09,01/29/10,1,Transfer to another public school district
150162990252368,Nash Elem School,150162990252368,Nash Elem School,041012050251010,Kennedy Middle School,Rockford SD 205,041012050251010,Kennedy Middle School,Rockford SD 205,1532420,2010,09/21/09,04/15/10,1,Transfer to another public school district
150162990252368,Nash Elem School,150162990252368,Nash Elem School,041012050251010,Kennedy Middle School,Rockford SD 205,041012050251010,Kennedy Middle School,Rockford SD 205,1532421,2010,09/16/09,04/15/10,1,Transfer to another public school district
150162990252605,Depriest Elem School,150162990252605,Depriest Elem School,041012050251010,Kennedy Middle School,Rockford SD 205,041012050251010,Kennedy Middle School,Rockford SD 205,2325378,2010,08/10/09,09/29/09,1,Transfer to another public school district
150162990252054,Aldridge Elem School,150162990252054,Aldridge Elem School,041012050251010,Kennedy Middle School,Rockford SD 205,041012050251010,Kennedy Middle School,Rockford SD 205,2353032,2010,09/08/09,12/15/09,1,Transfer to another public school district
150162990252338,Mayo Elem School,150162990252338,Mayo Elem School,041012050251010,Kennedy Middle School,Rockford SD 205,041012050251010,Kennedy Middle School,Rockford SD 205,2626323,2010,09/08/09,06/22/10,1,Transfer to another public school district
150162990252338,Mayo Elem School,150162990252338,Mayo Elem School,041012050251010,Kennedy Middle School,Rockford SD 205,041012050251010,Kennedy Middle School,Rockford SD 205,2626324,2010,09/08/09,06/22/10,1,Transfer to another public school district
150162990252484,Thorp  J N Elem School,150162990252484,Thorp  J N Elem School,041012050251010,Kennedy Middle School,Rockford SD 205,041012050251010,Kennedy Middle School,Rockford SD 205,2764574,2010,01/04/10,02/03/10,1,Transfer to another public school district
150162990252161,Dixon Elem School,150162990252161,Dixon Elem School,041012050252080,King Elementary School,Rockford SD 205,041012050252080,King Elementary School,Rockford SD 205,1677583,2010,08/19/09,02/03/10,1,Transfer to another public school district
150162990252262,Herbert Elem School,150162990252262,Herbert Elem School,041012050252080,King Elementary School,Rockford SD 205,041012050252080,King Elementary School,Rockford SD 205,2998380,2010,10/14/09,01/20/10,4,Transfer to Private School
150162990252876,Carson Elem School,150162990252876,Carson Elem School,041012050252040,Kishwaukee Elem School,Rockford SD 205,041012050252040,Kishwaukee Elem School,Rockford SD 205,2698548,2010,09/11/09,11/12/09,1,Transfer to another public school district
150162990252914,Sandoval Elem School,150162990252914,Sandoval Elem School,04101205025201C,Legacy Acad of Excellence Charter Sch,Rockford SD 205,04101205025201C,Legacy Acad of Excellence Charter Sch,Rockford SD 205,2433488,2010,07/02/09,08/01/09,1,Transfer to another public school district
150162990252263,Herzl Elem School,150162990252263,Herzl Elem School,041012050252084,Lewis Lemon Elementary,Rockford SD 205,041012050252084,Lewis Lemon Elementary,Rockford SD 205,2415372,2010,08/10/09,11/09/09,1,Transfer to another public school district
150162990252936,Claremont Academy Elem School,150162990252936,Claremont Academy Elem School,041012050252084,Lewis Lemon Elementary,Rockford SD 205,041012050252084,Lewis Lemon Elementary,Rockford SD 205,2442142,2010,08/21/09,06/10/10,1,Transfer to another public school district
150162990252263,Herzl Elem School,150162990252263,Herzl Elem School,041012050252084,Lewis Lemon Elementary,Rockford SD 205,041012050252084,Lewis Lemon Elementary,Rockford SD 205,2684432,2010,08/18/09,11/09/09,1,Transfer to another public school district
150162990252704,Langford A Elem School,150162990252704,Langford A Elem School,041012050252084,Lewis Lemon Elementary,Rockford SD 205,041012050252084,Lewis Lemon Elementary,Rockford SD 205,2698782,2010,11/16/09,02/10/10,1,Transfer to another public school district
150162990252352,Melody Elem School,150162990252352,Melody Elem School,041012050252084,Lewis Lemon Elementary,Rockford SD 205,041012050252084,Lewis Lemon Elementary,Rockford SD 205,2926077,2010,08/12/09,04/23/10,1,Transfer to another public school district
150162990252462,Spencer Technology Acad Elem Sch,150162990252462,Spencer Technology Acad Elem Sch,041012050252084,Lewis Lemon Elementary,Rockford SD 205,041012050252084,Lewis Lemon Elementary,Rockford SD 205,2989442,2010,09/08/09,05/12/10,1,Transfer to another public school district
150162990252492,Lavizzo Elem School,150162990252492,Lavizzo Elem School,041012050252043,McIntosh Elementary,Rockford SD 205,041012050252043,McIntosh Elementary,Rockford SD 205,1350957,2010,10/29/09,01/29/10,1,Transfer to another public school district
150162990252636,Hay Elem Community Academy,150162990252636,Hay Elem Community Academy,041012050252043,McIntosh Elementary,Rockford SD 205,041012050252043,McIntosh Elementary,Rockford SD 205,2341404,2010,10/13/09,04/04/10,1,Transfer to another public school district
150162990252937,Doolittle Elem School,150162990252937,Doolittle Elem School,041012050252043,McIntosh Elementary,Rockford SD 205,041012050252043,McIntosh Elementary,Rockford SD 205,3041530,2010,08/10/09,11/12/09,1,Transfer to another public school district
150162990252937,Doolittle Elem School,150162990252937,Doolittle Elem School,041012050252043,McIntosh Elementary,Rockford SD 205,041012050252043,McIntosh Elementary,Rockford SD 205,3041535,2010,08/10/09,11/12/09,1,Transfer to another public school district
150162990252344,McCutcheon Elem School,150162990252344,McCutcheon Elem School,041012050252043,McIntosh Elementary,Rockford SD 205,041012050252043,McIntosh Elementary,Rockford SD 205,3145805,2010,09/03/09,02/03/10,1,Transfer to another public school district
150162990252462,Spencer Technology Acad Elem Sch,150162990252462,Spencer Technology Acad Elem Sch,041012050252051,Riverdahl Elem School,Rockford SD 205,041012050252051,Riverdahl Elem School,Rockford SD 205,2723805,2010,09/08/09,03/05/10,1,Transfer to another public school district
150162990252775,Joplin Elem School,150162990252775,Joplin Elem School,041012050252051,Riverdahl Elem School,Rockford SD 205,041012050252051,Riverdahl Elem School,Rockford SD 205,2927574,2010,08/10/09,03/03/10,1,Transfer to another public school district
150162990252882,,150162990252882,,041012050250002,Rockford East High School,Rockford SD 205,041012050250002,Rockford East High School,Rockford SD 205,1530942,2010,09/08/09,06/15/10,1,Transfer to another public school district
150162990250013,Foreman High School,150162990250013,Foreman High School,041012050250002,Rockford East High School,Rockford SD 205,041012050250002,Rockford East High School,Rockford SD 205,2214687,2010,09/08/09,11/03/09,1,Transfer to another public school district
150162990250838,,150162990250838,,041012050250002,Rockford East High School,Rockford SD 205,041012050250002,Rockford East High School,Rockford SD 205,2244312,2010,08/25/09,09/08/09,11,"Moved, not known to be continuing"
150162990252507,Westcott Elem School,150162990252507,Westcott Elem School,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,1523498,2010,08/10/09,04/23/10,1,Transfer to another public school district
150162990252426,Rogers Elem School,150162990252426,Rogers Elem School,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,1535230,2010,09/08/09,10/29/09,1,Transfer to another public school district
150162990252084,Bethune Elem School,150162990252084,Bethune Elem School,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,2295035,2010,09/08/09,04/16/10,1,Transfer to another public school district
150162990252393,Parkman Elem School,150162990252393,Parkman Elem School,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,2310165,2010,09/08/09,04/10/10,1,Transfer to another public school district
150162990252896,Little Village Elem School,150162990252896,Little Village Elem School,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,2327803,2010,09/08/09,12/08/09,1,Transfer to another public school district
150162990252804,Metcalfe Elem Community Academy,150162990252804,Metcalfe Elem Community Academy,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,2624575,2010,08/10/09,10/21/09,1,Transfer to another public school district
150162990252804,Metcalfe Elem Community Academy,150162990252804,Metcalfe Elem Community Academy,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,2626764,2010,08/10/09,10/21/09,1,Transfer to another public school district
150162990252334,Mason Elem School,150162990252334,Mason Elem School,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,2749885,2010,09/08/09,01/05/10,1,Transfer to another public school district
150162990252336,May Elem Community Academy,150162990252336,May Elem Community Academy,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,3246303,2010,10/15/09,12/08/09,1,Transfer to another public school district
150162990252373,Nightingale Elem School,150162990252373,Nightingale Elem School,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,041012050252086,Rockford Envrnmntl Science Acad,Rockford SD 205,3250169,2010,11/16/09,06/03/10,1,Transfer to another public school district
150162990252112,Byrne Elem School,150162990252112,Byrne Elem School,041012050252054,Rolling Green,Rockford SD 205,041012050252054,Rolling Green,Rockford SD 205,2379156,2010,09/08/09,03/05/10,1,Transfer to another public school district
150162990252112,Byrne Elem School,150162990252112,Byrne Elem School,041012050252054,Rolling Green,Rockford SD 205,041012050252054,Rolling Green,Rockford SD 205,2862960,2010,09/08/09,03/05/10,1,Transfer to another public school district
150162990250545,Clemente Community Academy HS,150162990250545,Clemente Community Academy HS,041012050250003,Guilford High School,Rockford SD 205,041012050253075,Roosevelt Center,,1514860,2010,09/21/09,01/05/10,1,Transfer to another public school district
150162990252373,Nightingale Elem School,150162990252373,Nightingale Elem School,041012050252037,Swan Hillman Elem School,Rockford SD 205,041012050252037,Swan Hillman Elem School,Rockford SD 205,3250170,2010,11/13/09,06/03/10,1,Transfer to another public school district
150162990252373,Nightingale Elem School,150162990252373,Nightingale Elem School,041012050252037,Swan Hillman Elem School,Rockford SD 205,041012050252037,Swan Hillman Elem School,Rockford SD 205,3250194,2010,11/13/09,06/03/10,1,Transfer to another public school district
150162990252373,Nightingale Elem School,150162990252373,Nightingale Elem School,041012050252037,Swan Hillman Elem School,Rockford SD 205,041012050252037,Swan Hillman Elem School,Rockford SD 205,3250195,2010,11/13/09,06/03/10,1,Transfer to another public school district
150162990252160,Disney Elem Magnet School,150162990252160,Disney Elem Magnet School,041012050252078,Thurgood Marshall Elementary,Rockford SD 205,041012050252078,Thurgood Marshall Elementary,Rockford SD 205,2660828,2010,09/08/09,09/21/09,4,Transfer to Private School
150162990252876,Carson Elem School,150162990252876,Carson Elem School,041012050251001,West Middle School,Rockford SD 205,041012050251001,West Middle School,Rockford SD 205,1526790,2010,09/11/09,11/12/09,1,Transfer to another public school district
150162990252876,Carson Elem School,150162990252876,Carson Elem School,041012050251001,West Middle School,Rockford SD 205,041012050251001,West Middle School,Rockford SD 205,1526940,2010,09/05/09,11/12/09,1,Transfer to another public school district
150162990252092,Haley Elem Academy,150162990252092,Haley Elem Academy,041012050251001,West Middle School,Rockford SD 205,041012050251001,West Middle School,Rockford SD 205,1588492,2010,09/08/09,04/23/10,1,Transfer to another public school district
150162990252487,Tilton Elem School,150162990252487,Tilton Elem School,041012050251001,West Middle School,Rockford SD 205,041012050251001,West Middle School,Rockford SD 205,1798561,2010,09/08/09,06/18/10,1,Transfer to another public school district
